"Date","MLPA.Open","MLPA.High","MLPA.Low","MLPA.Close","MLPA.Volume","MLPA.Adjusted"
2013-08-30,20.532,20.532,20.312,15.78,29200,12.243377
2013-09-03,20.519,20.519,20.209,15.75,10900,12.2201
2013-09-04,20.222,20.248,20.184,15.67,13100,12.158029
2013-09-05,20.248,20.312,20.209,15.75,63700,12.2201
2013-09-06,20.325,20.325,20.248,15.72,10400,12.196822
2013-09-09,20.235,20.416,20.196,15.84,22900,12.289927
2013-09-10,20.351,20.506,20.351,15.9,23000,12.33648
2013-09-11,20.48,20.48,20.338,15.86,12700,12.305443
2013-09-12,20.416,20.467,20.325,15.81,14500,12.266653
2013-09-13,20.416,20.416,20.171,15.72,19400,12.196822
2013-09-16,20.467,20.467,20.08,15.58,94600,12.088198
2013-09-17,20.132,20.132,19.977,15.56,209000,12.072683
2013-09-18,20.106,20.3,20.003,15.74,145000,12.21234
2013-09-19,20.364,20.673,20.364,15.96,184800,12.383033
2013-09-20,20.519,20.596,20.493,15.95,18600,12.375273
2013-09-23,20.48,20.493,20.403,15.87,276500,12.313204
2013-09-24,20.416,20.532,20.416,15.86,14600,12.305443
2013-09-25,20.377,20.506,20.351,15.88,4600,12.320962
2013-09-26,20.57,20.622,20.57,16,17200,12.414068
2013-09-27,20.506,20.57,20.493,15.94,5900,12.367516
2013-09-30,20.428,20.596,20.428,15.98,12100,12.398549
2013-10-01,20.519,20.764,20.519,16.040001,4500,12.445104
2013-10-02,20.686,20.764,20.66,16.1,14100,12.491656
2013-10-03,20.712,20.712,20.635,16.030001,39200,12.437346
2013-10-04,20.635,20.635,20.57,16.01,18300,12.421825
2013-10-07,20.57,20.583,20.441,15.86,13300,12.305443
2013-10-08,20.519,20.519,20.416,15.84,8200,12.289927
2013-10-09,20.364,20.467,20.235,15.88,9400,12.320962
2013-10-10,20.699,20.699,20.351,15.81,32000,12.266653
2013-10-11,20.261,20.544,20.261,15.94,4200,12.367516
2013-10-14,20.622,20.622,20.416,16,31400,12.414068
2013-10-15,20.544,20.609,20.428,15.9,25600,12.33648
2013-10-16,20.557,20.557,20.48,15.92,20600,12.351997
2013-10-17,20.544,20.867,20.532,16.059999,19800,12.460621
2013-10-18,20.648,20.751,20.596,16.030001,17100,12.437346
2013-10-21,20.738,20.892,20.738,16.200001,14800,12.569242
2013-10-22,20.867,21.047,20.867,16.309999,23100,12.65459
2013-10-23,20.996,20.996,20.88,16.27,36400,12.623557
2013-10-24,20.983,21.073,20.97,16.35,20800,12.685627
2013-10-25,21.137,21.137,20.944,16.35,96900,12.685627
2013-10-28,20.983,21.073,20.712,16.25,33000,12.608036
2013-10-29,20.905,21.047,20.854,16.32,14900,12.66235
2013-10-30,21.124,21.124,20.944,16.35,17900,12.685627
2013-10-31,21.034,21.034,20.802,16.27,12800,12.623557
2013-11-01,21.034,21.034,20.88,16.219999,12000,12.584762
2013-11-04,20.996,20.996,20.776,16.25,10800,12.608036
2013-11-05,20.931,21.008,20.867,16.190001,62300,12.561484
2013-11-06,21.008,21.021,20.88,16.309999,15600,12.65459
2013-11-07,20.567,20.567,20.275,15.98,42800,12.563391
2013-11-08,20.338,20.338,20.135,15.95,12700,12.539805
2013-11-11,20.402,20.402,20.122,15.82,19800,12.437601
2013-11-12,20.16,20.275,20.16,15.94,24200,12.531945
2013-11-13,20.173,20.211,20.084,15.86,14900,12.469048
2013-11-14,20.186,20.326,20.186,15.92,15300,12.51622
2013-11-15,20.186,20.453,20.186,16.08,22800,12.642012
2013-11-18,20.504,20.504,20.351,16.02,24400,12.594841
2013-11-19,20.313,20.338,20.199,15.9,26100,12.500495
2013-11-20,20.186,20.275,20.16,15.94,16300,12.531945
2013-11-21,20.389,20.389,20.249,16.01,49200,12.586979
2013-11-22,20.377,20.529,20.377,16.110001,15600,12.665598
2013-11-25,20.517,20.517,20.478,16.129999,8700,12.681321
2013-11-26,20.517,20.529,20.44,16.09,14500,12.649876
2013-11-27,20.478,20.529,20.402,16.139999,34200,12.689182
2013-11-29,20.529,20.555,20.428,16.110001,4700,12.665598
2013-12-02,20.453,20.453,20.3,15.99,17800,12.571254
2013-12-03,20.249,20.288,20.224,15.93,11300,12.524083
2013-12-04,20.199,20.199,20.071,15.81,16300,12.429738
2013-12-05,20.084,20.084,19.97,15.72,21900,12.358982
2013-12-06,19.995,20.033,19.919,15.73,17300,12.366842
2013-12-09,20.008,20.059,19.97,15.72,18100,12.358982
2013-12-10,19.982,19.982,19.944,15.7,11800,12.343258
2013-12-11,19.982,19.982,19.855,15.62,27100,12.280362
2013-12-12,19.944,19.944,19.804,15.62,9600,12.280362
2013-12-13,19.868,19.982,19.83,15.71,28400,12.351121
2013-12-16,19.906,20.008,19.881,15.63,17700,12.288223
2013-12-17,19.97,19.97,19.804,15.57,17300,12.241052
2013-12-18,19.919,20.135,19.715,15.54,33000,12.217466
2013-12-19,19.881,19.881,19.766,15.6,24600,12.264639
2013-12-20,19.919,20.071,19.893,15.77,29200,12.398292
2013-12-23,19.906,20.262,19.906,15.91,19400,12.508359
2013-12-24,20.466,20.466,20.3,15.98,26900,12.563391
2013-12-26,20.517,20.529,20.377,16.02,37700,12.594841
2013-12-27,20.377,20.453,20.351,16.059999,22200,12.626287
2013-12-30,20.402,20.542,20.402,16.129999,27800,12.681321
2013-12-31,20.593,20.631,20.58,16.18,31400,12.72063
2014-01-02,20.491,20.555,20.351,16.030001,20400,12.602701
2014-01-03,20.517,20.517,20.313,16.030001,105300,12.602701
2014-01-06,20.428,20.428,20.351,16.01,13300,12.586979
2014-01-07,20.453,20.453,20.275,16.040001,14400,12.610564
2014-01-08,20.428,20.428,20.237,15.95,44300,12.539805
2014-01-09,20.288,20.313,20.199,15.92,45500,12.51622
2014-01-10,20.313,20.313,20.135,15.88,40900,12.484774
2014-01-13,20.249,20.275,20.148,15.87,43000,12.476912
2014-01-14,20.224,20.262,20.11,15.92,90100,12.51622
2014-01-15,20.224,20.3,20.186,15.9,23900,12.500495
2014-01-16,20.249,20.275,20.186,15.94,33200,12.531945
2014-01-17,20.084,20.288,20.084,15.88,29000,12.484774
2014-01-21,20.224,20.415,20.224,16.049999,52000,12.618424
2014-01-22,20.466,20.491,20.377,16.110001,48000,12.665598
2014-01-23,20.415,20.542,20.415,16.129999,38300,12.681321
2014-01-24,20.44,20.453,20.351,16.059999,30300,12.626287
2014-01-27,20.428,20.44,20.186,16,41200,12.579116
2014-01-28,20.453,20.478,20.173,16.049999,73800,12.618424
2014-01-29,20.478,20.504,20.402,16.040001,16500,12.610564
2014-01-30,20.542,20.542,20.44,16.09,12900,12.649876
2014-01-31,20.249,20.618,20.249,16.17,20500,12.71277
2014-02-03,20.631,20.656,20.415,16.120001,39200,12.67346
2014-02-04,20.466,20.504,20.364,16.02,36600,12.594841
2014-02-05,20.377,20.478,20.351,16.08,32000,12.642012
2014-02-06,20.517,20.593,20.466,16.17,27900,12.71277
