"Date","ZMLP.Open","ZMLP.High","ZMLP.Low","ZMLP.Close","ZMLP.Volume","ZMLP.Adjusted"
2014-09-30,49.036,49.036,48.779,41.82,33700,35.725285
2014-10-01,48.99,49.095,48.697,41.630001,14500,35.562973
2014-10-02,49.095,49.095,48.053,41.630001,22900,35.562973
2014-10-03,48.849,48.849,48.404,41.490002,6000,35.443382
2014-10-06,48.697,48.697,48.205,41.279999,14200,35.263985
2014-10-07,48.51,48.51,47.854,40.939999,6700,34.973534
2014-10-08,47.936,47.936,46.484,40.599998,64800,34.683086
2014-10-09,47.234,47.245,46.602,39.93,110700,34.110729
2014-10-10,46.59,46.59,43.734,38.970001,47900,33.290638
2014-10-13,45.15,45.15,43.488,37.150002,21500,31.735878
2014-10-14,44.26,44.26,41.72,36.5,25800,31.180609
2014-10-15,42.352,44.155,41.334,37.720001,43100,32.222809
2014-10-16,43.991,46.648,43.897,39.740002,41600,33.948418
2014-10-17,47.07,47.737,45.759,39.709999,44700,33.922787
2014-10-20,46.531,47.011,46.356,40.139999,13400,34.290119
2014-10-21,47.281,47.597,47.117,40.599998,10400,34.683086
2014-10-22,47.901,47.901,47.093,40.290001,10700,34.418262
2014-10-23,47.913,47.913,47.362,40.57,8600,34.657459
2014-10-24,47.456,47.538,47.316,40.57,31800,34.657459
2014-10-27,47.468,47.468,46.812,40.110001,15100,34.264492
2014-10-28,46.847,47.281,46.847,40.369999,12200,34.486603
2014-10-29,47.433,47.48,47.128,40.529999,23700,34.623283
2014-10-30,47.491,48.334,46.988,40.290001,24000,34.418262
2014-10-31,47.491,47.491,46.976,40.200001,8700,34.341377
2014-11-03,47.175,47.421,47.163,40.34,11400,34.460972
2014-11-04,47.281,47.281,45.876,39.52,23700,33.760479
2014-11-05,46.73,46.73,45.958,39.689999,23700,33.905701
2014-11-06,46.473,46.473,46.028,39.549999,20000,33.786106
2014-11-07,46.52,47.058,46.485,40.150002,14100,34.298664
2014-11-10,46.953,47.269,46.695,39.93,11200,34.110729
2014-11-11,46.707,46.707,46.25,39.669998,6400,33.888615
2014-11-12,46.52,46.625,46.239,39.57,21000,33.803192
2014-11-13,46.508,46.531,45.782,39.119999,30800,33.418777
2014-11-14,46.005,46.414,45.993,39.630001,10400,33.854443
2014-11-17,46.18,46.883,46.18,40.009998,13500,34.179066
2014-11-18,47.023,47.046,46.812,40.150002,13500,34.298664
2014-11-19,47.058,47.14,46.836,40.18,19500,34.324291
2014-11-20,47.035,47.62,47,40.669998,34900,34.742882
2014-11-21,47.772,48.053,47.62,40.720001,21500,34.785599
2014-11-24,47.831,47.831,47.093,40.330002,40700,34.452431
2014-11-25,47.409,47.409,46.859,40.07,15400,34.23032
2014-11-26,47.117,47.117,46.379,40.09,33600,34.24741
2014-11-28,46.953,46.953,44.6,38.189999,15700,32.62431
2014-12-01,44.682,44.682,41.837,36.25,36500,30.967039
2014-12-02,42.516,44.026,42.423,37.360001,43000,31.915272
2014-12-03,43.886,44.834,43.886,38.099998,40000,32.547421
2014-12-04,44.881,44.881,44.132,37.700001,22400,32.205719
2014-12-05,44.424,44.424,43.359,37.130001,66800,31.718792
2014-12-08,43.324,43.324,40.643,35.060001,46700,29.950468
2014-12-09,40.526,41.837,40.386,35.68,60200,30.48011
2014-12-10,41.58,41.58,39.742,34.349998,97000,29.343937
2014-12-11,40.222,40.924,39.789,34.139999,42200,29.164543
2014-12-12,39.59,39.765,38.478,33.240002,41100,28.395708
2014-12-15,39.356,39.356,37.014,31.74,31400,27.114311
2014-12-16,36.757,38.606,36.289,32.970001,40400,28.165054
2014-12-17,38.77,40.749,38.77,34.490002,162600,29.463539
2014-12-18,41.849,42.692,39.812,34.330002,35600,29.326853
2014-12-19,40.667,40.667,39.917,34.389999,49100,29.378107
2014-12-22,40.503,40.503,39.496,33.990002,186900,29.036404
2014-12-23,39.929,39.929,37.983,33.59,34000,29.350971
2014-12-24,38.453,38.453,38.109,33.52,10500,29.28981
2014-12-26,38.338,38.395,38.109,33.41,24700,29.193686
2014-12-29,38.533,38.533,37.938,33.380001,26500,29.167477
2014-12-30,38.121,38.121,37.812,33.240002,79500,29.045141
2014-12-31,38.613,38.613,37.674,33.119999,47800,28.940285
2015-01-02,38.109,39.162,38.109,34.18,22500,29.866514
2015-01-05,38.91,38.956,37.732,33.110001,24500,28.931551
2015-01-06,37.892,38.018,36.702,32.560001,29400,28.450958
2015-01-07,38.098,38.098,36.793,32.369999,47500,28.284933
2015-01-08,37.537,37.743,37.194,32.919998,104600,28.765524
2015-01-09,37.503,37.789,37.171,32.990002,16600,28.826694
2015-01-12,37.434,37.434,36.118,31.790001,17000,27.778131
2015-01-13,36.805,36.805,35.351,31.209999,34800,27.271326
2015-01-14,35.134,35.763,34.825,31.25,63100,27.306276
2015-01-15,36.45,36.45,35.66,31.280001,17600,27.332493
2015-01-16,35.821,36.667,35.821,32.040001,20700,27.996582
2015-01-20,36.542,36.828,36.221,32.150002,16800,28.092699
2015-01-21,37.274,37.743,37.011,32.900002,10700,28.748053
2015-01-22,37.743,38.109,37.251,32.759998,19500,28.625715
2015-01-23,37.869,37.961,37.388,32.799999,131500,28.660669
2015-01-26,38.018,38.361,37.709,33.459999,27700,29.237375
2015-01-27,38.338,38.395,37.961,33.549999,72500,29.316017
2015-01-28,38.796,38.796,37.377,32.779999,23000,28.643192
2015-01-29,37.972,37.972,36.896,32.959999,36100,28.800474
2015-01-30,37.961,38.304,37.514,33.259998,51300,29.062618
2015-02-02,38.51,38.51,37.915,33.439999,18000,29.2199
2015-02-03,38.453,39.689,38.35,34.040001,152700,29.744181
2015-02-04,38.624,38.682,38.304,33.68,85900,29.429613
2015-02-05,38.899,39.391,38.624,34.349998,25400,30.01506
2015-02-06,39.849,39.849,39.174,34.419998,198500,30.076227
2015-02-09,39.666,39.734,39.116,34.200001,18500,29.883987
2015-02-10,38.899,38.899,38.247,33.810001,22800,29.543207
2015-02-11,38.819,38.819,38.086,33.389999,13900,29.176214
2015-02-12,38.991,38.991,38.51,33.93,20300,29.648066
2015-02-13,39.048,39.563,39.048,34.34,25800,30.006325
2015-02-17,39.689,39.837,39.105,34.650002,36000,30.277205
2015-02-18,39.574,39.574,39.254,34.389999,21200,30.050014
2015-02-19,39.128,39.139,38.785,34.029999,30500,29.735443
2015-02-20,39.116,39.116,38.91,34.150002,7900,29.840302
2015-02-23,39.242,39.242,38.716,33.959999,63200,29.674278
2015-02-24,39.002,39.002,38.739,33.970001,23100,29.68302
2015-02-25,38.842,39.105,38.83,34.07,12800,29.770397
2015-02-26,38.785,39.082,38.59,33.84,78300,29.569424
2015-02-27,39.071,39.094,38.75,34.16,13600,29.849039
2015-03-02,39.105,39.105,38.441,33.720001,64700,29.464565
2015-03-03,38.624,39.483,38.567,34.139999,9100,29.831562
2015-03-04,39.082,39.082,38.51,34.049999,40000,29.752918
2015-03-05,38.807,39.162,38.739,34.119999,24600,29.814085
2015-03-06,38.727,38.956,38.373,33.599998,14600,29.359709
2015-03-09,38.361,38.395,37.571,32.869999,22700,28.721836
2015-03-10,36.965,37.205,36.77,32.509998,169000,28.407265
2015-03-11,37.663,37.663,36.851,32.380001,105000,28.293674
2015-03-12,37.308,37.308,36.896,32.290001,18000,28.215029
2015-03-13,37.137,37.137,36.221,31.84,130500,27.821821
2015-03-16,36.461,36.461,35.935,31.719999,85700,27.716963
2015-03-17,36.21,36.427,36.095,31.75,49900,27.743177
2015-03-18,36.049,37.194,36.049,32.259998,24600,28.188816
2015-03-19,36.553,36.839,36.553,32.169998,17600,28.110172
2015-03-20,37.056,37.331,37.011,32.540001,92600,28.433483
2015-03-23,37.4,37.926,37.262,33.060001,29500,28.887857
2015-03-24,37.068,37.068,36.599,32.02,24600,27.979105
2015-03-25,36.782,36.793,36.507,32.02,108400,27.979105
2015-03-26,36.839,36.919,36.393,31.959999,33300,27.926676
2015-03-27,36.828,36.828,36.301,31.790001,18400,27.778131
2015-03-30,36.656,36.656,36.267,31.91,25200,27.882988
2015-03-31,36.278,39.105,36.255,31.82,26400,27.804344
2015-04-01,36.427,36.622,36.393,31.809999,95100,27.795607
2015-04-02,36.37,36.656,36.37,31.959999,21800,27.926676
2015-04-06,36.965,37.045,36.645,32.34,27800,28.25872
2015-04-07,37.011,37.446,36.919,32.41,24700,28.319887
2015-04-08,37.125,37.125,36.725,32.119999,21300,28.066484
2015-04-09,36.919,36.919,36.667,32.169998,28800,28.110172
2015-04-10,36.999,36.999,36.816,32.310001,24300,28.23251
2015-04-13,36.988,37.045,36.851,32.299999,28200,28.223766
2015-04-14,37.034,37.56,37.034,32.790001,19800,28.65193
2015-04-15,37.674,38.281,37.583,33.299999,24000,29.09757
2015-04-16,37.983,38.258,37.88,33.240002,13400,29.045141
2015-04-17,38.098,38.098,37.526,32.959999,25500,28.800474
2015-04-20,38.052,38.338,37.858,33.279999,20500,29.080091
2015-04-21,38.327,38.327,37.869,33.200001,11700,29.010189
2015-04-22,38.109,38.281,37.995,33.439999,11400,29.2199
2015-04-23,38.338,38.601,38.338,33.720001,18300,29.464565
2015-04-24,38.624,38.624,38.178,33.599998,18000,29.359709
