"Date","JNK.Open","JNK.High","JNK.Low","JNK.Close","JNK.Volume","JNK.Adjusted"
2015-05-27,45.153,45.222,45.141,39.419998,6571100,34.362598
2015-05-28,45.164,45.187,45.118,39.380001,6221000,34.327751
2015-05-29,45.176,45.222,45.141,39.419998,6148800,34.362598
2015-06-01,44.747,44.827,44.747,39.220001,8774100,34.349468
2015-06-02,44.781,44.793,44.667,39.18,5381200,34.314434
2015-06-03,44.701,44.735,44.45,38.98,12452600,34.139271
2015-06-04,44.473,44.519,44.393,38.889999,10799500,34.060448
2015-06-05,44.244,44.347,44.222,38.799999,8557600,33.981628
2015-06-08,44.336,44.37,44.233,38.759998,11355200,33.946598
2015-06-09,44.29,44.29,44.119,38.700001,12909500,33.894054
2015-06-10,44.176,44.256,44.153,38.700001,9487800,33.894054
2015-06-11,44.267,44.324,44.233,38.790001,7442200,33.97287
2015-06-12,44.233,44.267,44.176,38.689999,11252800,33.885296
2015-06-15,44.062,44.119,43.936,38.490002,17746400,33.710133
2015-06-16,44.028,44.142,43.97,38.650002,6523500,33.850254
2015-06-17,44.13,44.176,43.959,38.630001,7519500,33.832737
2015-06-18,44.142,44.279,44.142,38.73,8586100,33.920319
2015-06-19,44.222,44.302,44.187,38.700001,7565400,33.894054
2015-06-22,44.37,44.439,44.324,38.849998,5904600,34.025417
2015-06-23,44.324,44.382,44.302,38.84,2780900,34.016659
2015-06-24,44.324,44.347,44.245,38.77,6615300,33.955345
2015-06-25,44.302,44.302,44.176,38.709999,9107500,33.902809
2015-06-26,44.153,44.176,44.028,38.580002,8945800,33.78896
2015-06-29,43.891,43.925,43.731,38.310001,13330000,33.552483
2015-06-30,43.902,43.959,43.822,38.43,7430900,33.657578
2015-07-01,43.561,43.663,43.504,38.299999,10063400,33.709515
2015-07-02,43.607,43.652,43.572,38.369999,6601100,33.771118
2015-07-06,43.527,43.595,43.436,38.27,7302300,33.683094
2015-07-07,43.379,43.482,43.3,38.23,10428600,33.647892
2015-07-08,43.322,43.345,43.163,37.990002,6326900,33.436665
2015-07-09,43.3,43.357,43.277,38.09,5758600,33.524677
2015-07-10,43.482,43.504,43.277,38.259998,13652300,33.674301
2015-07-13,43.561,43.561,43.413,38.299999,9545500,33.709515
2015-07-14,43.482,43.527,43.447,38.290001,4845600,33.70071
2015-07-15,43.504,43.561,43.47,38.299999,5481700,33.709515
2015-07-16,43.561,43.607,43.538,38.34,4957600,33.744713
2015-07-17,43.561,43.561,43.391,38.200001,7132100,33.62149
2015-07-20,43.402,43.425,43.288,38.119999,11263600,33.551079
2015-07-21,43.277,43.288,43.175,38,5635400,33.445457
2015-07-22,43.05,43.095,42.936,37.799999,13881500,33.269428
2015-07-23,42.936,42.982,42.925,37.82,6555400,33.287037
2015-07-24,42.959,42.97,42.8,37.68,6071700,33.163822
2015-07-27,42.709,42.777,42.607,37.52,13722000,33.022991
2015-07-28,42.675,42.8,42.629,37.650002,18012600,33.137417
2015-07-29,42.868,43.05,42.845,37.880001,6827200,33.339855
2015-07-30,43.05,43.175,43.016,37.990002,9093500,33.436665
2015-07-31,43.197,43.22,43.084,37.970001,7427200,33.41906
2015-08-03,42.741,42.741,42.594,37.669998,6335100,33.315578
2015-08-04,42.639,42.673,42.594,37.68,8803100,33.324429
2015-08-05,42.684,42.684,42.56,37.66,8144500,33.306728
2015-08-06,42.548,42.56,42.413,37.509998,9300100,33.174076
2015-08-07,42.311,42.367,42.232,37.360001,9509400,33.041412
2015-08-10,42.288,42.322,42.232,37.419998,4110500,33.094479
2015-08-11,42.209,42.232,42.073,37.259998,5751800,32.952972
2015-08-12,41.972,42.051,41.859,37.18,10107900,32.882221
2015-08-13,42.006,42.028,41.96,37.150002,7757200,32.855694
2015-08-14,42.017,42.04,41.972,37.18,4411700,32.882221
2015-08-17,41.972,42.028,41.926,37.130001,5909300,32.838009
2015-08-18,41.983,41.983,41.904,37.119999,7495800,32.829163
2015-08-19,41.881,41.949,41.813,37.029999,11743700,32.749569
2015-08-20,41.734,41.779,41.621,36.830002,8503500,32.572681
2015-08-21,41.587,41.644,41.497,36.720001,14750400,32.475407
2015-08-24,40.728,41.372,40.513,36.290001,17571000,32.0951
2015-08-25,41.531,41.565,41.158,36.400002,12927700,32.192394
2015-08-26,41.35,41.599,41.305,36.759998,9781600,32.510777
2015-08-27,41.7,41.813,41.632,36.970001,14157500,32.696495
2015-08-28,41.746,41.836,41.689,36.990002,8756200,32.714191
2015-08-31,41.734,41.859,41.61,37.009998,7120400,32.731869
2015-09-01,41.176,41.378,41.176,36.66,5929600,32.586098
2015-09-02,41.423,41.468,41.311,36.860001,7366700,32.763882
2015-09-03,41.479,41.536,41.412,36.849998,7341100,32.754993
2015-09-04,41.401,41.479,41.401,36.810001,4442700,32.719425
2015-09-08,41.569,41.682,41.547,37.049999,5565000,32.932758
2015-09-09,41.749,41.749,41.626,37.009998,11508700,32.897202
2015-09-10,41.637,41.727,41.614,37.080002,9538100,32.959427
2015-09-11,41.592,41.727,41.581,37.040001,6566000,32.923862
2015-09-14,41.637,41.693,41.614,37.040001,6107700,32.923862
2015-09-15,41.626,41.659,41.592,37.009998,4752800,32.897202
2015-09-16,41.524,41.569,41.457,36.889999,6976900,32.790539
2015-09-17,41.457,41.637,41.412,36.93,19646900,32.826099
2015-09-18,41.446,41.491,41.333,36.75,15925000,32.666092
2015-09-21,41.401,41.446,41.344,36.759998,8117200,32.67498
2015-09-22,41.108,41.356,41.074,36.52,7530800,32.461651
2015-09-23,41.108,41.131,40.996,36.450001,6144700,32.399433
2015-09-24,40.861,40.906,40.748,36.240002,11375600,32.212769
2015-09-25,40.804,40.827,40.602,36.110001,11945600,32.097221
2015-09-28,40.467,40.467,40.039,35.59,14403600,31.635006
2015-09-29,39.972,40.118,39.938,35.560001,11754600,31.60833
2015-09-30,40.152,40.197,40.017,35.66,10933900,31.69722
2015-10-01,39.74,39.74,39.561,35.369999,9756200,31.605188
2015-10-02,39.371,39.572,39.281,35.330002,14322200,31.569443
2015-10-05,39.673,39.986,39.673,35.720001,26799600,31.917933
2015-10-06,39.975,40.143,39.93,35.830002,18661300,32.016228
2015-10-07,40.355,40.501,40.277,36.169998,19318600,32.320038
2015-10-08,40.434,40.624,40.355,36.299999,12573100,32.436195
2015-10-09,40.736,40.837,40.602,36.310001,10680400,32.445129
2015-10-12,40.758,40.792,40.546,36.27,5598900,32.409401
2015-10-13,40.512,40.59,40.479,36.200001,12713700,32.346844
2015-10-14,40.546,40.557,40.49,36.200001,8433600,32.346844
2015-10-15,40.568,40.602,40.479,36.220001,19720000,32.364712
2015-10-16,40.579,40.714,40.579,36.380001,6601200,32.507679
2015-10-19,40.669,40.87,40.635,36.509998,9035300,32.62384
2015-10-20,40.736,40.881,40.736,36.509998,11943900,32.62384
2015-10-21,40.893,40.937,40.77,36.459999,19155100,32.579166
2015-10-22,40.937,40.937,40.758,36.450001,12253100,32.570232
2015-10-23,40.971,41.016,40.87,36.599998,15014000,32.704269
2015-10-26,41.005,41.005,40.881,36.560001,13529000,32.66853
2015-10-27,40.837,40.859,40.77,36.459999,10204500,32.579166
2015-10-28,40.792,40.893,40.691,36.540001,13403500,32.65065
2015-10-29,40.792,40.87,40.792,36.459999,6810200,32.579166
2015-10-30,40.814,40.87,40.747,36.470001,16699100,32.5881
2015-11-02,40.46,40.538,40.393,36.400002,8131800,32.684181
2015-11-03,40.549,40.594,40.494,36.419998,8171400,32.702137
2015-11-04,40.594,40.605,40.494,36.369999,9524000,32.657246
2015-11-05,40.494,40.538,40.405,36.279999,7481100,32.576435
2015-11-06,40.271,40.304,40.171,36.119999,10070400,32.43277
2015-11-09,40.148,40.16,40.037,35.959999,17296900,32.289097
2015-11-10,39.981,40.048,39.881,35.849998,17405000,32.190331
2015-11-11,39.948,39.981,39.826,35.77,3220400,32.118488
2015-11-12,39.681,39.759,39.536,35.5,24813500,31.876059
2015-11-13,39.48,39.569,39.425,35.419998,14919200,31.804222
2015-11-16,39.402,39.592,39.358,35.549999,11427000,31.920948
2015-11-17,39.636,39.703,39.536,35.5,12776500,31.876059
2015-11-18,39.592,39.67,39.569,35.57,9705200,31.938911
2015-11-19,39.614,39.614,39.369,35.360001,15205400,31.750353
2015-11-20,39.335,39.436,39.269,35.27,11278000,31.669529
2015-11-23,39.313,39.324,39.191,35.240002,6308800,31.642603
2015-11-24,39.135,39.291,39.102,35.259998,8517800,31.660563
2015-11-25,39.291,39.313,39.246,35.259998,7772100,31.660563
2015-11-27,39.302,39.391,39.291,35.369999,2944800,31.759329
2015-11-30,39.413,39.413,39.313,35.360001,7318200,31.750353
2015-12-01,39,39.155,38.989,35.330002,14269700,31.896603
2015-12-02,39.144,39.177,39.011,35.220001,12935400,31.7973
2015-12-03,39.011,39.044,38.878,35.150002,11466900,31.734095
2015-12-04,38.878,38.923,38.779,35.080002,11048100,31.670902
2015-12-07,38.767,38.767,38.579,34.84,12445500,31.454224
2015-12-08,38.335,38.38,38.092,34.439999,34803900,31.093094
2015-12-09,38.114,38.335,38.114,34.52,18707900,31.165319
2015-12-10,38.158,38.258,38.059,34.380001,11115000,31.038925
2015-12-11,37.782,37.804,36.951,33.689999,34999300,30.415983
2015-12-14,37.217,37.294,36.796,33.419998,27745300,30.17222
2015-12-15,37.416,37.671,37.361,33.810001,22422700,30.524323
2015-12-16,37.593,37.804,37.46,34.099998,23683200,30.786135
2015-12-17,37.826,37.826,37.316,33.720001,20917800,30.443068
2015-12-18,37.305,37.35,37.15,33.59,14047700,30.325703
2015-12-21,37.305,37.35,37.073,33.560001,12869700,30.298609
2015-12-22,37.239,37.505,37.15,33.849998,13524500,30.560431
2015-12-23,37.571,37.748,37.571,34.02,14776100,30.713917
2015-12-24,37.715,37.848,37.671,34.060001,6329500,30.750029
2015-12-28,37.582,37.649,37.483,33.860001,7245800,30.569454
2015-12-29,37.24,37.384,37.174,33.900002,10892700,30.777369
2015-12-30,37.251,37.384,37.207,33.91,7999000,30.78644
2015-12-31,37.339,37.483,37.284,33.91,4681100,30.78644
2016-01-04,37.119,37.174,36.998,33.740002,14081800,30.632105
2016-01-05,37.185,37.361,37.13,33.810001,8916800,30.695662
2016-01-06,37.119,37.251,37.064,33.779999,11928400,30.668413
2016-01-07,36.976,37.075,36.921,33.599998,11733300,30.504993
2016-01-08,37.141,37.185,36.877,33.48,20493700,30.396053
2016-01-11,36.987,37.064,36.8,33.43,15518900,30.35066
2016-01-12,36.932,37.02,36.778,33.509998,11115600,30.42329
2016-01-13,36.877,36.932,36.37,33.060001,18605100,30.014742
2016-01-14,36.392,36.557,36.238,33.139999,17757700,30.087372
2016-01-15,35.875,36.073,35.819,32.73,17962500,29.715137
2016-01-19,36.007,36.04,35.797,32.57,17985400,29.569876
2016-01-20,35.555,35.742,35.115,32.290001,26580600,29.315666
2016-01-21,35.588,35.83,35.412,32.439999,22401600,29.451849
2016-01-22,36.007,36.337,36.007,32.959999,14608400,29.923954
2016-01-25,36.161,36.315,35.974,32.68,15577900,29.669744
2016-01-26,36.04,36.315,36.029,32.959999,15270700,29.923954
2016-01-27,36.271,36.403,36.106,32.880001,17639300,29.851328
2016-01-28,36.425,36.491,36.271,33.029999,11861000,29.987505
2016-01-29,36.469,36.612,36.425,33.209999,15666800,30.150923
2016-02-01,36.124,36.124,35.872,32.82,13448200,29.954687
2016-02-02,35.784,35.795,35.609,32.549999,8650200,29.708269
2016-02-03,35.729,35.905,35.477,32.669998,16232200,29.817789
2016-02-04,35.773,35.872,35.664,32.59,11290400,29.744776
2016-02-05,35.696,35.696,35.346,32.299999,12445500,29.480087
2016-02-08,35.138,35.149,34.798,31.91,14655100,29.124138
2016-02-09,34.82,34.973,34.634,31.76,11176800,28.987238
2016-02-10,34.984,35.083,34.699,31.709999,11238400,28.941599
2016-02-11,34.447,34.623,34.261,31.49,14398700,28.740808
2016-02-12,34.634,35.094,34.59,32,21244500,29.206282
2016-02-16,35.171,35.247,35.083,32.049999,9371900,29.251919
2016-02-17,35.28,35.477,35.269,32.290001,15807000,29.470964
2016-02-18,35.423,35.576,35.368,32.32,8872900,29.498344
2016-02-19,35.247,35.477,35.192,32.380001,4915000,29.553112
2016-02-22,35.631,35.828,35.62,32.700001,10988000,29.845173
2016-02-23,35.74,35.839,35.554,32.66,19170400,29.808664
2016-02-24,35.499,35.85,35.455,32.709999,9093800,29.854298
2016-02-25,35.795,36.003,35.685,32.849998,11847900,29.982069
2016-02-26,36.135,36.255,36.091,33.07,15295800,30.182863
2016-02-29,36.222,36.683,36.222,33.43,28725900,30.51144
2016-03-01,36.301,36.9,36.203,33.849998,35411900,31.070425
2016-03-02,36.639,36.671,36.519,33.610001,16415700,30.85014
2016-03-03,36.595,36.813,36.442,33.700001,10551600,30.932749
2016-03-04,36.791,36.976,36.649,33.810001,11440200,31.033718
2016-03-07,36.824,36.911,36.758,33.84,11228200,31.061256
2016-03-08,36.78,36.867,36.617,33.610001,21167700,30.85014
2016-03-09,36.747,36.747,36.595,33.689999,6923900,30.923567
2016-03-10,36.9,37.009,36.726,33.93,12975600,31.143864
2016-03-11,37.27,37.477,37.27,34.330002,14326900,31.511026
2016-03-14,37.368,37.39,37.161,34.25,9807900,31.437588
2016-03-15,37.107,37.161,36.987,34.029999,11634100,31.235655
2016-03-16,36.944,37.456,36.922,34.27,13449000,31.455946
2016-03-17,37.336,37.684,37.314,34.5,19577500,31.667053
2016-03-18,37.663,37.815,37.608,34.540001,13579900,31.703772
2016-03-21,37.674,37.695,37.521,34.529999,9630500,31.694597
2016-03-22,37.554,37.619,37.477,34.48,12321700,31.648705
2016-03-23,37.521,37.532,37.358,34.299999,12484600,31.483479
2016-03-24,37.096,37.238,37.063,34.150002,9037800,31.3458
2016-03-28,37.26,37.281,36.998,33.98,9359000,31.189754
2016-03-29,36.954,37.161,36.846,34.080002,12638400,31.281551
2016-03-30,37.161,37.325,37.161,34.200001,11435500,31.391691
2016-03-31,37.238,37.39,37.216,34.25,14580900,31.437588
2016-04-01,36.81,37.038,36.68,34.139999,18058300,31.505882
2016-04-04,36.94,37.027,36.81,34.009998,12754600,31.385902
2016-04-05,36.658,36.81,36.637,33.869999,11894100,31.256702
2016-04-06,36.788,37.005,36.745,34.119999,19192800,31.487415
2016-04-07,36.864,36.951,36.734,33.919998,12553300,31.302853
2016-04-08,36.994,37.027,36.929,34.139999,9816700,31.505882
2016-04-11,37.038,37.146,37.038,34.200001,5289100,31.561249
2016-04-12,37.135,37.33,37.103,34.419998,10112400,31.764278
2016-04-13,37.46,37.645,37.417,34.66,9492400,31.985756
2016-04-14,37.547,37.569,37.493,34.630001,8777800,31.958076
2016-04-15,37.471,37.504,37.406,34.560001,8720300,31.893471
2016-04-18,37.341,37.72,37.319,34.799999,8536900,32.114956
2016-04-19,37.796,37.926,37.753,34.990002,7321900,32.290295
2016-04-20,37.959,38.089,37.85,35.060001,10823000,32.354893
2016-04-21,38.045,38.078,37.84,34.939999,11899000,32.244148
2016-04-22,37.894,37.991,37.861,35.040001,10137900,32.336437
2016-04-25,37.915,37.97,37.818,34.919998,7211000,32.225697
2016-04-26,37.959,37.991,37.872,35.060001,8785600,32.354893
2016-04-27,38.024,38.241,38.013,35.25,9537300,32.530231
