"Date","TFI.Open","TFI.High","TFI.Low","TFI.Close","TFI.Volume","TFI.Adjusted"
2015-09-02,24.871,24.892,24.829,23.879999,234300,45.838081
2015-09-03,24.892,24.923,24.881,23.879999,259800,45.838081
2015-09-04,24.892,24.933,24.808,23.93,124600,45.934048
2015-09-08,24.892,24.913,24.84,23.9,202000,45.876465
2015-09-09,24.871,24.944,24.86,23.9,286000,45.876465
2015-09-10,24.881,24.881,24.819,23.84,168600,45.761292
2015-09-11,24.85,24.902,24.85,23.860001,156500,45.799686
2015-09-14,24.86,24.86,24.819,23.85,147300,45.780487
2015-09-15,24.829,24.829,24.725,23.73,165000,45.550137
2015-09-16,24.756,24.787,24.725,23.74,154500,45.569344
2015-09-17,24.725,24.871,24.725,23.860001,171300,45.799686
2015-09-18,24.787,24.933,24.787,23.93,155100,45.934048
2015-09-21,24.913,24.923,24.881,23.879999,187300,45.838081
2015-09-22,24.944,24.985,24.913,23.969999,147500,46.010818
2015-09-23,24.965,24.985,24.944,23.969999,102700,46.010818
2015-09-24,25.006,25.09,24.975,24,127600,46.068417
2015-09-25,24.985,25.048,24.965,23.969999,101700,46.010818
2015-09-28,25.048,25.058,24.975,24.049999,215500,46.164383
2015-09-29,25.038,25.121,25.038,24.1,247900,46.260368
2015-09-30,25.058,25.131,25.058,24.110001,140500,46.279556
2015-10-01,25.062,25.062,25.01,24.07,747000,46.293022
2015-10-02,25.134,25.134,25.072,24.15,225800,46.446888
2015-10-05,25.114,25.114,25.03,24.1,159000,46.350723
2015-10-06,25.124,25.124,25.051,24.1,313900,46.350723
2015-10-07,25.051,25.082,25.03,24.110001,189300,46.369961
2015-10-08,25.062,25.093,25.03,24.08,176200,46.312252
2015-10-09,25.041,25.082,25.03,24.09,179400,46.331493
2015-10-12,25.082,25.124,25.072,24.15,128800,46.446888
2015-10-13,25.124,25.134,25.082,24.15,122300,46.446888
2015-10-14,25.114,25.145,25.093,24.16,199200,46.466122
2015-10-15,25.093,25.124,25.072,24.120001,166700,46.389183
2015-10-16,25.062,25.134,25.062,24.15,146200,46.446888
2015-10-19,25.082,25.124,25.082,24.120001,293200,46.389183
2015-10-20,25.093,25.145,25.062,24.110001,161800,46.369961
2015-10-21,25.124,25.155,25.093,24.17,164800,46.485348
2015-10-22,25.124,25.134,25.093,24.16,170700,46.466122
2015-10-23,25.114,25.114,25.082,24.139999,129600,46.427654
2015-10-26,25.134,25.145,25.114,24.17,180300,46.485348
2015-10-27,25.124,25.176,25.124,24.17,173700,46.485348
2015-10-28,25.155,25.176,25.124,24.16,178300,46.466122
2015-10-29,25.145,25.155,25.103,24.15,339400,46.446888
2015-10-30,25.145,25.145,25.103,24.16,147900,46.466122
2015-11-02,25.035,25.035,24.983,24.1,434000,46.439133
2015-11-03,25.045,25.045,24.993,24.1,142700,46.439133
2015-11-04,25.024,25.024,24.972,24.1,118100,46.439133
2015-11-05,25.003,25.003,24.952,24.059999,203500,46.362057
2015-11-06,24.92,24.962,24.858,23.98,174400,46.207901
2015-11-09,24.91,24.91,24.827,23.940001,277000,46.130829
2015-11-10,24.848,24.879,24.806,23.950001,180400,46.150101
2015-11-11,24.869,24.879,24.827,23.950001,167400,46.150101
2015-11-12,24.869,24.889,24.827,23.950001,194300,46.150101
2015-11-13,24.879,24.889,24.848,23.959999,151300,46.169373
2015-11-16,24.879,24.91,24.869,23.98,136900,46.207901
2015-11-17,24.9,24.92,24.869,24,291000,46.246445
2015-11-18,24.889,24.983,24.889,24.049999,140400,46.342796
2015-11-19,24.983,25.045,24.983,24.1,171400,46.439133
2015-11-20,25.045,25.045,25.035,24.129999,111700,46.496937
2015-11-23,25.066,25.086,25.024,24.139999,133000,46.516216
2015-11-24,25.066,25.118,25.055,24.17,180200,46.57402
2015-11-25,25.118,25.118,25.045,24.15,114300,46.535484
2015-11-27,25.086,25.169,25.076,24.190001,33100,46.612572
2015-11-30,25.118,25.149,25.076,24.200001,126400,46.631832
2015-12-01,25.048,25.11,25.007,24.23,320600,46.780487
2015-12-02,25.079,25.121,25.079,24.25,135900,46.819103
2015-12-03,25.09,25.131,24.986,24.139999,198400,46.60672
2015-12-04,25.058,25.09,25.027,24.190001,106300,46.703266
2015-12-07,25.09,25.09,25.027,24.219999,158500,46.761185
2015-12-08,25.1,25.162,25.1,24.23,129800,46.780487
2015-12-09,25.131,25.131,25.09,24.25,275400,46.819103
2015-12-10,25.11,25.162,25.1,24.25,101500,46.819103
2015-12-11,25.172,25.214,25.162,24.309999,127700,46.93494
2015-12-14,25.203,25.266,25.131,24.290001,176400,46.896336
2015-12-15,25.121,25.152,25.1,24.25,185800,46.819103
2015-12-16,25.121,25.121,25.069,24.23,116100,46.780487
2015-12-17,25.121,25.214,25.1,24.32,450600,46.954254
2015-12-18,25.203,25.255,25.152,24.360001,250000,47.031479
2015-12-21,25.255,25.266,25.224,24.379999,239600,47.070103
2015-12-22,25.266,25.266,25.224,24.35,168800,47.012173
2015-12-23,25.245,25.245,25.203,24.35,150800,47.012173
2015-12-24,25.214,25.255,25.214,24.379999,93400,47.070103
2015-12-28,25.245,25.276,25.245,24.379999,99200,47.070103
2015-12-29,25.132,25.184,25.081,24.309999,146500,47.068172
2015-12-30,25.081,25.184,25.081,24.35,166800,47.145607
2015-12-31,25.153,25.184,25.101,24.379999,173200,47.20369
2016-01-04,25.184,25.194,25.122,24.32,416200,47.087521
2016-01-05,25.204,25.256,25.132,24.450001,250800,47.339233
2016-01-06,25.349,25.349,25.308,24.530001,205200,47.494118
2016-01-07,25.38,25.39,25.349,24.57,507100,47.571564
2016-01-08,25.401,25.432,25.349,24.610001,191800,47.64901
2016-01-11,25.39,25.401,25.349,24.549999,160600,47.532837
2016-01-12,25.328,25.442,25.328,24.57,220500,47.571564
2016-01-13,25.38,25.421,25.339,24.549999,506200,47.532837
2016-01-14,25.39,25.401,25.318,24.540001,322700,47.513485
2016-01-15,25.401,25.421,25.328,24.559999,301000,47.552204
2016-01-19,25.39,25.421,25.359,24.59,830600,47.610279
2016-01-20,25.473,25.535,25.463,24.67,341500,47.765171
2016-01-21,25.463,25.525,25.442,24.639999,219300,47.707088
2016-01-22,25.483,25.483,25.401,24.620001,287800,47.668369
2016-01-25,25.421,25.442,25.38,24.610001,707500,47.64901
2016-01-26,25.39,25.452,25.39,24.610001,212600,47.64901
2016-01-27,25.452,25.452,25.39,24.610001,171900,47.64901
2016-01-28,25.421,25.432,25.39,24.610001,293600,47.64901
2016-01-29,25.442,25.483,25.432,24.639999,306000,47.707088
2016-02-01,25.385,25.406,25.344,24.58,162800,47.678005
2016-02-02,25.375,25.437,25.375,24.66,206400,47.833179
2016-02-03,25.427,25.488,25.416,24.68,669300,47.871967
2016-02-04,25.457,25.457,25.427,24.67,187100,47.852573
2016-02-05,25.488,25.488,25.427,24.68,301500,47.871967
2016-02-08,25.499,25.571,25.499,24.780001,150700,48.065952
2016-02-09,25.53,25.612,25.53,24.82,369400,48.143524
2016-02-10,25.612,25.612,25.561,24.809999,481800,48.124138
2016-02-11,25.653,25.684,25.571,24.85,227800,48.201721
2016-02-12,25.653,25.653,25.54,24.780001,539600,48.065952
2016-02-16,25.591,25.591,25.519,24.809999,205500,48.124138
2016-02-17,25.54,25.55,25.499,24.75,160200,48.007751
2016-02-18,25.509,25.55,25.478,24.74,280700,47.98835
2016-02-19,25.509,25.561,25.499,24.780001,919800,48.065952
2016-02-22,25.561,25.561,25.478,24.73,329200,47.968956
2016-02-23,25.488,25.53,25.447,24.719999,730000,47.949562
2016-02-24,25.499,25.519,25.447,24.690001,225900,47.891373
2016-02-25,25.478,25.478,25.447,24.690001,151900,47.891373
2016-02-26,25.478,25.478,25.406,24.65,199500,47.813782
2016-02-29,25.406,25.437,25.385,24.66,405000,47.833179
2016-03-01,25.327,25.347,25.255,24.559999,233100,47.730175
2016-03-02,25.224,25.285,25.183,24.51,610500,47.633011
2016-03-03,25.275,25.275,25.213,24.52,209800,47.652447
2016-03-04,25.203,25.213,25.162,24.48,204500,47.574703
2016-03-07,25.11,25.162,25.11,24.41,269400,47.43866
2016-03-08,25.193,25.234,25.172,24.52,315200,47.652447
2016-03-09,25.213,25.224,25.172,24.49,213800,47.594135
2016-03-10,25.193,25.224,25.183,24.49,174400,47.594135
2016-03-11,25.213,25.213,25.172,24.459999,230500,47.535843
2016-03-14,25.213,25.224,25.193,24.49,126700,47.594135
2016-03-15,50.314,50.55,50.149,48.889999,152400,47.506687
2016-03-16,50.293,50.406,50.272,48.939999,317000,47.55526
2016-03-17,50.334,50.427,50.334,48.98,169700,47.594135
2016-03-18,50.417,50.489,50.417,49.040001,131100,47.652447
2016-03-21,50.468,50.519,50.427,49.060001,351700,47.671875
2016-03-22,50.509,50.55,50.478,49.07,204200,47.681587
2016-03-23,50.499,50.561,50.478,49.130001,142200,47.739887
2016-03-24,50.519,50.581,50.499,49.080002,198300,47.691315
2016-03-28,50.561,50.571,50.509,49.099998,225100,47.710739
2016-03-29,50.602,50.643,50.55,49.189999,251700,47.798195
2016-03-30,50.622,50.674,50.561,49.240002,258200,47.846779
2016-03-31,50.612,50.777,50.612,49.34,245200,47.943947
2016-04-01,50.614,50.964,50.583,49.240002,227600,47.932262
2016-04-04,50.625,50.686,50.625,49.34,321300,48.029606
2016-04-05,50.82,50.82,50.727,49.419998,304700,48.107487
2016-04-06,50.799,50.851,50.779,49.439999,887900,48.126957
