"Date","SCHP.Open","SCHP.High","SCHP.Low","SCHP.Close","SCHP.Volume","SCHP.Adjusted"
2013-06-11,56.856,57.188,56.825,55.080002,92100,53.069031
2013-06-12,57.084,57.178,56.773,54.700001,76200,52.702911
2013-06-13,56.918,57.146,56.69,55.049999,106800,53.040127
2013-06-14,57.281,57.406,57.126,55.07,50100,53.059402
2013-06-17,57.25,57.25,56.928,54.860001,42800,52.857067
2013-06-18,56.928,57.209,56.928,55,47300,52.991959
2013-06-19,57.261,57.302,56.358,54.330002,162500,52.346413
2013-06-20,56.202,56.243,55.693,53.709999,419100,51.749062
2013-06-21,55.704,55.735,55.081,53.07,285100,51.132423
2013-06-24,54.105,55.019,54.105,52.830002,146300,50.901184
2013-06-25,54.988,55.112,54.905,52.990002,765000,51.055344
2013-06-26,55.268,55.361,55.154,53.220001,82700,51.276955
2013-06-27,55.496,55.839,55.496,53.68,37400,51.720154
2013-06-28,55.569,55.859,55.486,53.810001,53400,51.845413
2013-07-01,55.662,55.984,55.662,53.939999,93400,51.97065
2013-07-02,56.036,56.223,56.036,54.110001,41000,52.134449
2013-07-03,56.202,56.264,56.036,54.02,30800,52.047733
2013-07-05,55.382,55.496,55.257,53.240002,75400,51.296215
2013-07-08,55.455,55.652,55.455,53.57,65300,51.614162
2013-07-09,55.735,55.735,55.59,53.57,57000,51.614162
2013-07-10,55.641,55.683,55.424,53.450001,39600,51.498535
2013-07-11,55.797,55.901,55.527,53.709999,133300,51.749062
2013-07-12,55.963,56.036,55.724,53.849998,80300,51.883945
2013-07-15,55.953,56.088,55.922,54.029999,244700,52.057373
2013-07-16,56.181,56.337,56.171,54.209999,52500,52.230797
2013-07-17,56.565,56.596,56.42,54.380001,32100,52.394585
2013-07-18,56.285,56.347,56.14,54.189999,64700,52.211517
2013-07-19,56.399,56.648,56.399,54.560001,42400,52.568024
2013-07-22,56.627,56.752,56.607,54.59,55200,52.59692
2013-07-23,56.513,56.534,56.389,54.419998,31400,52.433132
2013-07-24,56.233,56.233,55.88,53.970001,129400,51.999565
2013-07-25,55.984,56.077,55.849,54.009998,81900,52.038097
2013-07-26,56.16,56.171,56.015,54.02,79700,52.047733
2013-07-29,56.098,56.098,55.974,53.959999,90500,51.989929
2013-07-30,56.171,56.171,55.963,53.970001,47800,51.999565
2013-07-31,55.797,56.347,55.756,54.240002,45300,52.259708
2013-08-01,56.037,56.037,55.83,53.889999,124400,51.969429
2013-08-02,55.944,56.172,55.944,54.119999,107300,52.191231
2013-08-05,56.079,56.162,56.016,54.119999,81200,52.191231
2013-08-06,56.255,56.327,56.172,54.299999,72600,52.364822
2013-08-07,56.41,56.462,56.338,54.439999,85100,52.499817
2013-08-08,56.535,56.607,56.462,54.490002,28400,52.548046
2013-08-09,56.514,56.566,56.462,54.540001,23000,52.596272
2013-08-12,56.628,56.67,56.359,54.360001,35200,52.422676
2013-08-13,56.224,56.234,55.882,53.939999,163400,52.017635
2013-08-14,55.944,55.944,55.778,53.810001,37400,51.892277
2013-08-15,55.467,55.508,55.28,53.41,100500,51.506538
2013-08-16,55.456,55.456,54.948,53.139999,475200,51.246162
2013-08-19,54.959,54.959,54.71,52.84,120500,50.956852
2013-08-20,54.928,55.135,54.928,53.150002,49800,51.255806
2013-08-21,55.166,55.166,54.793,52.849998,17400,50.966484
2013-08-22,54.648,54.793,54.585,52.84,80600,50.956852
2013-08-23,54.772,55.145,54.689,53.130001,32500,51.236519
2013-08-26,55.239,55.373,55.197,53.360001,32000,51.458321
2013-08-27,55.539,55.726,55.529,53.639999,36700,51.728333
2013-08-28,55.612,55.612,55.415,53.48,20600,51.574043
2013-08-29,55.353,55.529,55.353,53.459999,18100,51.554749
2013-08-30,55.488,55.519,55.176,53.209999,44200,51.31366
2013-09-03,54.916,54.916,54.595,52.93,89200,51.121468
2013-09-04,54.761,54.782,54.471,52.700001,46000,50.899319
2013-09-05,54.295,54.306,54.088,52.240002,36500,50.455036
2013-09-06,54.347,54.523,54.306,52.48,41700,50.68684
2013-09-09,54.544,54.595,54.43,52.57,49800,50.773758
2013-09-10,54.368,54.492,54.295,52.5,43400,50.706146
2013-09-11,54.595,54.699,54.471,52.799999,16800,50.995907
2013-09-12,54.792,54.865,54.595,52.73,25200,50.928295
2013-09-13,54.554,54.72,54.554,52.790001,21300,50.986248
2013-09-16,55.082,55.144,54.803,52.939999,24300,51.131115
2013-09-17,54.554,55.051,54.513,53.169998,28300,51.35326
2013-09-18,55.072,55.848,54.885,53.82,42700,51.981056
2013-09-19,55.776,55.838,55.548,53.709999,40800,51.874813
2013-09-20,55.61,55.807,55.538,53.860001,56400,52.019684
2013-09-23,55.848,55.962,55.848,54.049999,23000,52.203194
2013-09-24,55.983,55.983,55.9,54,26700,52.154903
2013-09-25,55.848,56.035,55.848,54.080002,27100,52.232166
2013-09-26,55.941,55.972,55.828,54.049999,21100,52.203194
2013-09-27,55.921,56.055,55.89,54,23800,52.154903
2013-09-30,55.879,56.004,55.807,54.060001,35100,52.212845
2013-10-01,55.982,55.982,55.765,54,70800,52.194489
2013-10-02,55.92,56.054,55.92,54.099998,26200,52.291149
2013-10-03,55.899,56.116,55.899,54.119999,11500,52.310474
2013-10-04,55.961,55.961,55.868,54.02,10500,52.213829
2013-10-07,56.013,56.106,55.951,54.110001,19500,52.300812
2013-10-08,56.013,56.013,55.816,53.950001,28200,52.14616
2013-10-09,55.878,55.909,55.796,53.950001,25700,52.14616
2013-10-10,55.713,55.858,55.682,53.91,32900,52.107494
2013-10-11,55.909,55.909,55.754,53.889999,17900,52.088169
2013-10-14,55.816,55.816,55.547,53.700001,27200,51.904514
2013-10-15,55.713,55.754,55.578,53.720001,38000,51.923851
2013-10-16,55.661,55.827,55.537,53.860001,19900,52.059174
2013-10-17,55.93,56.054,55.909,54.139999,34300,52.329796
2013-10-18,55.982,56.116,55.982,54.220001,40000,52.407127
2013-10-21,56.034,56.075,55.982,54.150002,42200,52.339474
2013-10-22,56.189,56.344,56.189,54.43,34200,52.610111
2013-10-23,56.416,56.458,56.261,54.380001,42900,52.561783
2013-10-24,56.271,56.323,56.168,54.360001,25200,52.542454
2013-10-25,56.396,56.458,56.344,54.5,21900,52.677769
2013-10-28,56.447,56.478,56.396,54.529999,31100,52.706768
2013-10-29,56.396,56.437,56.313,54.490002,16300,52.668102
2013-10-30,56.427,56.52,56.282,54.459999,17400,52.639111
2013-10-31,56.427,56.437,56.106,54.299999,31000,52.484455
2013-11-01,56.035,56.035,55.693,53.950001,54900,52.183643
2013-11-04,55.838,55.859,55.745,53.939999,25100,52.173965
2013-11-05,55.683,55.683,55.497,53.779999,19500,52.019199
2013-11-06,55.683,55.911,55.683,54.009998,14700,52.241669
2013-11-07,55.942,56.035,55.88,54.09,14200,52.319054
2013-11-08,55.404,55.528,55.321,53.580002,17200,51.825756
2013-11-11,55.445,55.487,55.332,53.630001,24100,51.874115
2013-11-12,55.476,55.518,55.321,53.57,19100,51.816078
2013-11-13,55.58,55.58,55.445,53.700001,19500,51.941826
2013-11-14,55.58,55.817,55.559,53.900002,32000,52.135288
2013-11-15,55.724,55.797,55.652,53.959999,27200,52.193314
2013-11-18,55.745,55.942,55.745,54.080002,41700,52.309383
2013-11-19,55.859,55.869,55.683,53.860001,34600,52.096584
2013-11-20,55.59,55.735,55.301,53.52,26100,51.767712
2013-11-21,55.177,55.518,55.125,53.619999,20100,51.864445
2013-11-22,55.538,55.662,55.538,53.779999,20400,52.019199
2013-11-25,55.631,55.745,55.59,53.830002,23500,52.067566
2013-11-26,55.776,55.776,55.662,53.849998,31200,52.086914
2013-11-27,55.631,55.631,55.414,53.73,20600,51.97084
2013-11-29,55.445,55.518,55.435,53.689999,6000,51.932156
2013-12-02,55.383,55.404,55.259,53.450001,159700,51.700005
2013-12-03,55.363,55.394,55.29,53.48,12800,51.729027
2013-12-04,55.135,55.135,54.939,53.189999,26600,51.448528
2013-12-05,55.001,55.001,54.846,53.09,28100,51.351799
2013-12-06,54.856,54.959,54.794,53.060001,24700,51.322781
2013-12-09,54.877,55.021,54.877,53.119999,41900,51.380814
2013-12-10,55.114,55.135,54.98,53.32,21600,51.574257
2013-12-11,55.011,55.166,54.959,53.220001,48200,51.477539
2013-12-12,54.959,54.959,54.835,53.040001,29300,51.303432
2013-12-13,55.032,55.052,54.918,53.189999,16200,51.448528
2013-12-16,55.197,55.197,54.959,53.25,29100,51.506557
2013-12-17,55.114,55.228,55.042,53.41,32800,51.661324
2013-12-18,55.052,55.125,54.949,53.189999,27700,51.448528
2013-12-19,54.794,54.887,54.732,53,33200,51.264744
2013-12-20,54.753,55.001,54.753,53.119999,109900,51.380814
2013-12-23,54.856,54.939,54.815,53.029999,55500,51.293758
2013-12-24,54.784,54.784,54.649,52.880001,22200,51.148659
2013-12-26,54.618,54.691,54.577,52.84,55000,51.109978
2013-12-27,54.68,54.722,54.587,52.82,73300,51.09063
2013-12-30,54.711,54.835,54.66,52.950001,142700,51.216385
2013-12-31,54.701,54.763,54.536,52.77,161700,51.042274
2014-01-02,54.691,54.918,54.515,52.73,126100,51.003582
2014-01-03,54.794,54.939,54.784,53.049999,36500,51.313103
2014-01-06,54.908,55.094,54.897,53.18,38000,51.438843
2014-01-07,55.073,55.114,54.98,53.290001,37600,51.54525
2014-01-08,55.011,55.052,54.939,53.23,32200,51.487217
2014-01-09,55.083,55.259,55.052,53.450001,14300,51.700005
2014-01-10,55.394,55.518,55.383,53.639999,52100,51.883789
2014-01-13,55.487,55.58,55.456,53.689999,37300,51.932156
2014-01-14,55.497,55.497,55.321,53.529999,29300,51.777382
2014-01-15,55.197,55.352,55.197,53.48,49000,51.729027
2014-01-16,55.363,55.414,55.332,53.549999,28800,51.79673
2014-01-17,55.259,55.456,55.259,53.610001,46200,51.854771
2014-01-21,55.383,55.445,55.363,53.549999,57400,51.79673
2014-01-22,55.28,55.342,55.249,53.439999,33500,51.690334
2014-01-23,55.383,55.528,55.383,53.650002,21100,51.893463
2014-01-24,55.621,55.621,55.528,53.799999,29600,52.038555
2014-01-27,55.621,55.673,55.456,53.639999,43400,51.883789
2014-01-28,55.559,55.58,55.445,53.75,30000,51.990192
2014-01-29,55.683,55.797,55.611,53.939999,49300,52.173965
2014-01-30,55.704,55.766,55.642,53.889999,51600,52.125599
2014-01-31,55.818,55.88,55.776,54.009998,25800,52.241669
2014-02-03,55.88,56.159,55.828,54.32,57400,52.541515
2014-02-04,56.004,56.004,55.869,54.09,66700,52.319054
2014-02-05,55.869,55.869,55.704,53.889999,20600,52.125599
2014-02-06,55.714,55.714,55.621,53.860001,34300,52.096584
2014-02-07,55.755,55.911,55.755,54.009998,83100,52.241669
2014-02-10,55.849,55.921,55.797,54.07,75600,52.299709
2014-02-11,55.755,55.807,55.683,53.900002,30300,52.135288
2014-02-12,55.642,55.683,55.569,53.790001,19400,52.02887
2014-02-13,55.745,55.797,55.693,53.939999,35100,52.173965
