"Date","FNDX.Open","FNDX.High","FNDX.Low","FNDX.Close","FNDX.Volume","FNDX.Adjusted"
2015-03-31,31.265,31.443,31.182,30,260400,28.776289
2015-04-01,31.192,31.192,31.015,29.83,240400,28.613224
2015-04-02,31.14,31.328,31.13,30,257000,28.776289
2015-04-06,31.119,31.578,31.119,30.209999,246500,28.977722
2015-04-07,31.526,31.599,31.411,30.129999,282700,28.900984
2015-04-08,31.443,31.547,31.328,30.129999,206400,28.900984
2015-04-09,31.359,31.609,31.359,30.280001,200500,29.044868
2015-04-10,31.589,31.745,31.589,30.450001,200100,29.207932
2015-04-13,31.734,31.797,31.599,30.33,169600,29.092827
2015-04-14,31.578,31.714,31.505,30.389999,205600,29.150379
2015-04-15,31.839,31.953,31.818,30.559999,278800,29.313444
2015-04-16,31.776,31.933,31.755,30.540001,224200,29.29426
2015-04-17,31.63,31.641,31.349,30.190001,234200,28.958536
2015-04-20,31.661,31.818,31.661,30.459999,232100,29.217522
2015-04-21,31.818,31.818,31.609,30.379999,291000,29.140787
2015-04-22,31.755,31.797,31.547,30.49,209500,29.246302
2015-04-23,31.693,31.985,31.693,30.620001,242700,29.371002
2015-04-24,31.985,31.985,31.87,30.629999,234000,29.380592
2015-04-27,32.058,32.058,31.776,30.48,419400,29.236708
2015-04-28,31.922,31.974,31.661,30.67,355000,29.418957
2015-04-29,31.797,31.912,31.724,30.559999,245700,29.313444
2015-04-30,31.797,31.797,31.505,30.26,168700,29.025682
2015-05-01,31.724,31.87,31.661,30.549999,172200,29.303854
2015-05-04,31.964,32.016,31.953,30.66,227700,29.409369
2015-05-05,31.985,31.985,31.589,30.33,219500,29.092827
2015-05-06,31.755,31.755,31.338,30.200001,189900,28.96813
2015-05-07,31.495,31.661,31.411,30.299999,146400,29.064049
2015-05-08,31.818,31.974,31.818,30.67,336000,29.418957
2015-05-11,31.974,31.974,31.776,30.49,257900,29.246302
2015-05-12,31.693,31.797,31.547,30.42,171500,29.179157
2015-05-13,31.745,31.901,31.714,30.43,139500,29.188745
2015-05-14,31.87,32.016,31.87,30.68,431200,29.428553
2015-05-15,32.068,32.078,31.985,30.74,218700,29.486103
2015-05-18,32.11,32.193,32.037,30.860001,182600,29.60121
2015-05-19,32.141,32.183,32.058,30.809999,172000,29.553247
2015-05-20,32.11,32.193,32.047,30.82,219500,29.562838
2015-05-21,32.12,32.245,32.047,30.879999,181000,29.620392
2015-05-22,32.183,32.183,32.099,30.799999,179800,29.543655
2015-05-26,31.985,31.985,31.703,30.51,201900,29.26548
2015-05-27,31.828,32.037,31.828,30.73,207900,29.476511
2015-05-28,31.985,32.006,31.88,30.67,150300,29.418957
2015-05-29,32.016,32.037,31.776,30.559999,423700,29.313444
2015-06-01,31.88,31.964,31.766,30.540001,881300,29.29426
2015-06-02,31.787,31.933,31.714,30.549999,296700,29.303854
2015-06-03,31.943,31.995,31.839,30.58,331400,29.332628
2015-06-04,31.797,31.849,31.568,30.309999,286200,29.073645
2015-06-05,31.568,31.672,31.463,30.25,166900,29.01609
2015-06-08,31.474,31.536,31.39,30.110001,276900,28.8818
2015-06-09,31.349,31.463,31.317,30.110001,150500,28.8818
2015-06-10,31.516,31.787,31.516,30.469999,167500,29.227118
2015-06-11,31.787,31.86,31.787,30.51,142500,29.26548
2015-06-12,31.693,31.693,31.547,30.299999,141700,29.064049
2015-06-15,31.359,31.495,31.307,30.139999,227200,28.91058
2015-06-16,31.401,31.641,31.401,30.33,145500,29.092827
2015-06-17,31.641,31.755,31.526,30.389999,181300,29.150379
2015-06-18,31.776,32.037,31.776,30.639999,137400,29.390179
2015-06-19,31.922,31.953,31.828,30.540001,212400,29.29426
2015-06-22,31.964,32.068,31.933,30.65,266000,29.399773
2015-06-23,32.037,32.037,31.922,30.700001,287200,29.447737
2015-06-24,31.933,31.974,31.776,30.49,170500,29.246302
2015-06-25,31.828,31.849,31.651,30.360001,176200,29.121603
2015-06-26,31.672,31.734,31.589,30.389999,152000,29.150379
2015-06-29,31.131,31.172,30.778,29.66,230900,28.582771
2015-06-30,30.985,30.985,30.716,29.75,212000,28.669502
2015-07-01,31.058,31.058,30.882,29.860001,293100,28.775511
2015-07-02,31.048,31.11,30.933,29.889999,149500,28.804419
2015-07-06,30.809,30.975,30.726,29.719999,302600,28.640591
2015-07-07,30.861,31.068,30.508,29.940001,345900,28.852604
2015-07-08,30.819,30.871,30.55,29.459999,203500,28.390036
2015-07-09,30.913,30.965,30.633,29.52,217600,28.447859
2015-07-10,30.923,31.016,30.85,29.85,130200,28.765871
2015-07-13,31.141,31.266,31.141,30.129999,177600,29.035698
2015-07-14,31.266,31.411,31.255,30.25,186100,29.151344
2015-07-15,31.359,31.39,31.234,30.15,171400,29.054974
2015-07-16,31.432,31.494,31.421,30.34,161800,29.238075
2015-07-17,31.452,31.452,31.307,30.24,138500,29.141706
2015-07-20,31.4,31.4,31.286,30.200001,416400,29.103161
2015-07-21,31.276,31.317,31.1,30.02,350600,28.929697
2015-07-22,31.058,31.172,31.058,29.99,204100,28.900787
2015-07-23,31.162,31.162,30.892,29.82,198900,28.736959
2015-07-24,30.954,30.954,30.57,29.5,161700,28.428581
2015-07-27,30.415,30.508,30.332,29.32,748800,28.255121
2015-07-28,30.56,30.84,30.467,29.700001,184900,28.621319
2015-07-29,30.819,31.1,30.819,29.950001,174900,28.86224
2015-07-30,31.037,31.1,30.913,29.959999,295600,28.871874
2015-07-31,31.089,31.12,30.944,29.85,273800,28.765871
2015-08-03,30.933,30.933,30.684,29.68,398200,28.602045
2015-08-04,30.799,30.882,30.664,29.6,170500,28.52495
2015-08-05,30.882,31.027,30.778,29.690001,154500,28.611683
2015-08-06,30.809,30.809,30.56,29.58,116900,28.50568
2015-08-07,30.612,30.653,30.435,29.41,202000,28.341852
2015-08-10,30.736,30.985,30.736,29.85,143700,28.765871
2015-08-11,30.726,30.757,30.591,29.610001,185900,28.534586
2015-08-12,30.498,30.778,30.3,29.65,322900,28.573133
2015-08-13,30.809,30.83,30.653,29.58,165900,28.50568
2015-08-14,30.705,30.788,30.674,29.66,143100,28.582771
2015-08-17,30.684,30.913,30.591,29.790001,153100,28.70805
2015-08-18,30.861,30.923,30.799,29.709999,176500,28.630955
2015-08-19,30.726,30.736,30.415,29.43,159900,28.361122
2015-08-20,30.352,30.352,30,28.91,386800,27.86001
2015-08-21,29.688,29.823,29.128,28.08,1824900,27.060158
2015-08-24,28.557,29.211,26.388,26.959999,1514900,25.980831
2015-08-25,28.536,28.92,27.509,26.51,470100,25.547178
2015-08-26,28.059,28.557,27.727,27.5,514400,26.501221
2015-08-27,28.879,29.263,28.713,28.16,631800,27.137249
2015-08-28,29.128,29.367,29.128,28.219999,181300,27.195072
2015-08-31,29.159,29.304,29.024,28.129999,152300,27.108337
2015-09-01,28.412,28.64,28.194,27.309999,427900,26.318121
2015-09-02,28.692,28.713,28.37,27.67,135000,26.665045
2015-09-03,28.879,29.19,28.785,27.9,185700,26.886692
2015-09-04,28.536,28.578,28.287,27.4,1099300,26.404854
2015-09-08,28.858,29.107,28.796,28.049999,151800,27.031244
2015-09-09,29.356,29.367,28.671,27.629999,185700,26.626497
2015-09-10,28.682,28.993,28.64,27.77,175100,26.761415
2015-09-11,28.734,28.889,28.651,27.84,136300,26.828873
2015-09-14,28.91,28.91,28.734,27.73,287300,26.722868
2015-09-15,28.868,29.211,28.837,28.07,187000,27.050518
2015-09-16,29.232,29.47,29.18,28.370001,104600,27.339626
2015-09-17,29.398,29.792,29.325,28.26,140900,27.233622
2015-09-18,28.993,29.149,28.796,27.76,181000,26.751776
2015-09-21,29.014,29.149,28.889,27.940001,353000,26.92524
2015-09-22,28.63,28.702,28.495,27.6,457300,26.597589
2015-09-23,28.671,28.713,28.495,27.549999,115900,26.549406
2015-09-24,28.35,28.557,28.204,27.49,1092300,26.491583
2015-09-25,28.775,28.806,28.443,27.549999,188900,26.549406
2015-09-28,28.105,28.105,27.579,26.76,708100,25.926434
2015-09-29,27.662,27.827,27.507,26.82,310100,25.984564
2015-09-30,27.93,28.178,27.878,27.27,182900,26.420546
2015-10-01,28.24,28.24,27.878,27.290001,151800,26.439926
2015-10-02,27.847,28.591,27.796,27.700001,180600,26.837154
2015-10-05,28.838,29.231,28.818,28.290001,415400,27.408777
2015-10-06,29.21,29.334,29.127,28.33,267900,27.447531
2015-10-07,29.406,29.561,29.21,28.58,215100,27.689741
2015-10-08,29.416,29.87,29.416,28.91,136700,28.00946
2015-10-09,29.85,29.891,29.705,28.870001,107100,27.970709
2015-10-12,29.798,29.798,29.705,28.85,178300,27.951332
2015-10-13,29.602,29.829,29.581,28.68,101900,27.786627
2015-10-14,29.561,29.664,29.416,28.540001,259500,27.650991
2015-10-15,29.53,29.85,29.468,28.92,263600,28.019152
2015-10-16,29.912,29.974,29.778,29.040001,118600,28.135414
2015-10-19,29.819,29.901,29.788,28.959999,336200,28.057903
2015-10-20,29.829,29.974,29.819,28.93,117600,28.028841
2015-10-21,29.912,29.943,29.747,28.84,181000,27.941643
2015-10-22,29.829,30.211,29.829,29.24,224800,28.329182
2015-10-23,30.417,30.417,30.252,29.440001,92500,28.522953
2015-10-26,30.345,30.345,30.232,29.32,210000,28.406693
2015-10-27,30.149,30.18,30.005,29.17,194600,28.261362
2015-10-28,30.139,30.417,30.087,29.469999,138100,28.552017
2015-10-29,30.387,30.49,30.335,29.5,203400,28.581083
2015-10-30,30.469,30.552,30.366,29.42,139100,28.503574
2015-11-02,30.366,30.789,30.366,29.790001,265500,28.862055
2015-11-03,30.686,30.975,30.686,29.92,231800,28.987999
2015-11-04,30.923,30.923,30.645,29.780001,188600,28.852364
2015-11-05,30.717,30.768,30.541,29.74,154400,28.813606
2015-11-06,30.614,30.655,30.417,29.639999,167200,28.716724
2015-11-09,30.541,30.541,30.17,29.370001,169900,28.455135
2015-11-10,30.252,30.417,30.242,29.41,180600,28.493887
2015-11-11,30.438,30.438,30.232,29.299999,179100,28.387314
2015-11-12,30.046,30.067,29.767,28.84,184100,27.941643
2015-11-13,29.695,29.695,29.437,28.559999,221000,27.670366
2015-11-16,29.427,29.974,29.427,29.040001,333100,28.135414
2015-11-17,30.015,30.17,29.85,28.99,318000,28.086969
2015-11-18,30.025,30.387,30.015,29.440001,273700,28.522953
2015-11-19,30.314,30.356,30.263,29.370001,137100,28.455135
2015-11-20,30.417,30.51,30.325,29.41,201300,28.493887
2015-11-23,30.356,30.469,30.304,29.42,344100,28.503574
2015-11-24,30.201,30.562,30.201,29.540001,474200,28.619841
2015-11-25,30.459,30.51,30.397,29.5,111900,28.581083
2015-11-27,30.417,30.49,30.387,29.5,67300,28.581083
2015-11-30,30.49,30.49,30.376,29.450001,89600,28.532644
2015-12-01,30.469,30.645,30.448,29.690001,131300,28.765163
2015-12-02,30.634,30.634,30.242,29.299999,979600,28.387314
2015-12-03,30.345,30.345,29.767,28.93,326000,28.028841
2015-12-04,29.881,30.387,29.881,29.440001,242700,28.522953
2015-12-07,30.263,30.263,29.953,29.18,155700,28.271053
2015-12-08,29.809,29.963,29.778,28.92,730900,28.019152
2015-12-09,29.747,30.159,29.55,28.780001,266200,27.883514
2015-12-10,29.695,29.984,29.674,28.860001,323600,27.961021
2015-12-11,29.468,29.54,29.21,28.33,202700,27.447531
2015-12-14,29.22,29.354,29.003,28.42,577800,27.534725
2015-12-15,29.561,29.829,29.561,28.76,274900,27.864134
2015-12-16,29.85,30.139,29.747,29.139999,202100,28.232298
2015-12-17,30.118,30.118,29.633,28.709999,202800,27.815689
2015-12-18,29.499,29.499,29.138,28.23,195300,27.350643
2015-12-21,28.981,29.032,28.796,28.27,169900,27.557301
2015-12-22,29.124,29.37,29.022,28.559999,339100,27.839987
2015-12-23,29.463,29.771,29.463,29.01,202900,28.278643
2015-12-24,29.719,29.781,29.647,28.950001,125800,28.220156
2015-12-28,29.535,29.565,29.432,28.82,131500,28.093431
2015-12-29,29.709,29.873,29.709,29.07,211400,28.337132
2015-12-30,29.76,29.801,29.596,28.870001,165600,28.142172
2015-12-31,29.504,29.606,29.381,28.639999,268800,27.917971
2016-01-04,28.929,29.022,28.714,28.280001,228100,27.567049
2016-01-05,29.073,29.155,28.909,28.389999,211600,27.674274
2016-01-06,28.724,28.847,28.519,27.959999,332900,27.255112
2016-01-07,28.232,28.447,27.986,27.370001,1308000,26.679989
2016-01-08,28.211,28.263,27.678,27.040001,447700,26.358309
2016-01-11,27.862,27.903,27.421,27.02,532300,26.338814
2016-01-12,27.934,28.057,27.575,27.200001,220600,26.514275
2016-01-13,28.006,28.047,27.267,26.58,238600,25.909906
2016-01-14,27.391,27.934,27.185,27.049999,1344000,26.368057
2016-01-15,27.031,27.267,26.847,26.48,1133200,25.812428
2016-01-19,27.442,27.462,26.898,26.43,408100,25.763685
2016-01-20,26.672,26.929,26.098,26.07,1977100,25.41276
2016-01-21,26.744,27.185,26.58,26.24,264700,25.578478
2016-01-22,27.349,27.493,27.226,26.75,332800,26.075619
2016-01-25,27.329,27.329,26.949,26.27,261500,25.607721
2016-01-26,27.093,27.462,27.093,26.73,171300,26.056122
2016-01-27,27.349,27.698,27.093,26.57,139700,25.900156
2016-01-28,27.483,27.524,27.165,26.700001,208100,26.02688
2016-01-29,27.544,28.088,27.544,27.379999,194100,26.689735
2016-02-01,27.903,28.191,27.811,27.389999,311200,26.699486
2016-02-02,27.801,27.801,27.452,26.84,273800,26.163351
2016-02-03,27.688,27.852,27.155,27.07,167700,26.38755
2016-02-04,27.719,28.027,27.668,27.18,144500,26.494778
2016-02-05,27.801,27.801,27.432,26.84,161100,26.163351
2016-02-08,27.237,27.329,26.908,26.51,575400,25.841673
2016-02-09,26.929,27.329,26.919,26.450001,288300,25.783182
2016-02-10,27.257,27.473,27.052,26.389999,238900,25.724693
2016-02-11,26.662,26.867,26.457,26.059999,504200,25.403017
2016-02-12,26.96,27.278,26.867,26.58,179800,25.909906
2016-02-16,27.565,27.709,27.411,27.01,139300,26.329065
2016-02-17,27.883,28.211,27.883,27.440001,209800,26.748224
2016-02-18,28.201,28.201,28.016,27.370001,169100,26.679989
2016-02-19,27.955,28.016,27.832,27.299999,160700,26.611752
2016-02-22,28.273,28.468,28.273,27.719999,190500,27.021164
2016-02-23,28.324,28.324,28.068,27.389999,219800,26.699486
2016-02-24,27.811,28.273,27.698,27.51,145900,26.81646
2016-02-25,28.283,28.539,28.17,27.82,107500,27.118645
2016-02-26,28.724,28.724,28.447,27.75,91500,27.050407
2016-02-29,28.488,28.632,28.273,27.559999,195500,26.865198
2016-03-01,28.478,28.878,28.406,28.129999,545200,27.420828
2016-03-02,28.786,29.093,28.734,28.34,202800,27.625534
2016-03-03,29.073,29.288,29.011,28.540001,179400,27.820494
2016-03-04,29.299,29.565,29.217,28.700001,149100,27.976461
2016-03-07,29.319,29.647,29.319,28.84,166500,28.11293
2016-03-08,29.463,29.463,29.206,28.469999,371100,27.752256
2016-03-09,29.36,29.494,29.299,28.620001,147600,27.898478
2016-03-10,29.453,29.565,29.104,28.629999,133400,27.908222
2016-03-11,29.699,29.863,29.688,29.1,144000,28.366377
2016-03-14,29.729,29.863,29.699,29.059999,206200,28.327383
2016-03-15,29.576,29.74,29.565,28.99,158700,28.259146
2016-03-16,29.668,30.017,29.668,29.209999,172500,28.473598
2016-03-17,29.965,30.314,29.924,29.49,238800,28.74654
2016-03-18,30.386,30.417,30.253,29.559999,240800,28.814777
2016-03-21,30.13,30.253,30.078,29.450001,245900,28.70755
2016-03-22,30.048,30.273,30.048,29.389999,140900,28.649061
2016-03-23,30.078,30.078,29.863,29.15,101000,28.415115
