"Date","VNQI.Open","VNQI.High","VNQI.Low","VNQI.Close","VNQI.Volume","VNQI.Adjusted"
2013-10-30,67.769,67.944,67.257,58.09,81200,49.895954
2013-10-31,67.688,67.688,67.245,57.849998,53100,49.689812
2013-11-01,67.199,67.315,66.78,57.580002,65100,49.457893
2013-11-04,67.257,67.28,66.885,57.77,84900,49.621094
2013-11-05,66.78,66.791,66.454,57.240002,57900,49.165852
2013-11-06,66.838,66.943,66.57,57.23,84800,49.157261
2013-11-07,66.64,66.64,65.685,56.459999,93600,48.49588
2013-11-08,65.767,66.046,65.499,56.709999,78100,48.710613
2013-11-11,65.907,65.942,65.72,56.5,50000,48.530247
2013-11-12,65.895,65.895,65.441,56.389999,62200,48.435749
2013-11-13,65.546,66.058,65.196,56.720001,69400,48.719204
2013-11-14,66.244,66.384,65.965,56.849998,457600,48.830868
2013-11-15,67.013,67.327,66.617,57.77,216600,49.621094
2013-11-18,67.374,67.513,67.071,57.669998,119000,49.535194
2013-11-19,66.954,66.954,66.489,57.330002,119500,49.24316
2013-11-20,66.64,66.64,65.907,56.630001,49000,48.641899
2013-11-21,65.779,65.895,65.534,56.52,61000,48.547417
2013-11-22,65.779,66,65.627,56.669998,57900,48.676254
2013-11-25,65.662,65.662,65.196,56.009998,147900,48.10936
2013-11-26,65.08,65.441,65.068,56.150002,98700,48.229607
2013-11-27,65.662,65.802,65.371,56.52,56800,48.547417
2013-11-29,65.814,66.023,65.511,56.299999,40600,48.358444
2013-12-02,65.488,65.488,64.812,55.77,80800,47.90321
2013-12-03,64.777,64.789,64.358,55.5,72700,47.671295
2013-12-04,64.323,64.603,64.067,55.43,140800,47.611172
2013-12-05,64.288,64.288,63.939,54.98,106900,47.224644
2013-12-06,64.277,64.719,64.09,55.549999,130600,47.714241
2013-12-09,64.451,64.451,64.172,55.240002,104300,47.447975
2013-12-10,64.253,64.405,64.067,55.290001,67000,47.490921
2013-12-11,64.195,64.195,63.45,54.580002,149200,46.881081
2013-12-12,63.45,63.497,63.101,54.380001,62400,46.709278
2013-12-13,63.473,63.473,63.019,54.48,83800,46.795162
2013-12-16,63.136,63.706,63.136,54.459999,155600,46.777992
2013-12-17,63.45,63.485,62.67,54.110001,244400,46.477364
2013-12-18,63.217,63.916,62.891,54.59,371800,46.889664
2013-12-19,63.601,63.636,63.113,54.66,160000,46.94978
2013-12-20,60.207,60.32,59.925,53.279999,139500,47.123127
2013-12-23,60.592,60.671,60.377,53.459999,357700,47.28233
2013-12-24,60.501,60.501,60.162,53.259998,96100,47.105442
2013-12-26,60.354,60.682,60.343,53.669998,244200,47.468071
2013-12-27,61.055,61.055,60.603,53.860001,165900,47.636112
2013-12-30,61.055,61.451,60.897,54.25,186600,47.981045
2013-12-31,61.315,61.745,61.157,54.48,201700,48.184464
2014-01-02,61.293,61.327,60.501,53.650002,176300,47.450382
2014-01-03,60.75,60.897,60.58,53.689999,88200,47.485752
2014-01-06,60.694,60.739,60.4,53.509998,366200,47.326557
2014-01-07,60.716,60.716,60.501,53.599998,73700,47.406158
2014-01-08,60.716,60.716,60.4,53.540001,122400,47.353088
2014-01-09,60.547,60.558,60.343,53.529999,66500,47.344242
2014-01-10,60.807,61.168,60.569,54.060001,87600,47.812996
2014-01-13,61.055,61.101,60.388,53.529999,137900,47.344242
2014-01-14,60.547,60.92,60.501,53.860001,111700,47.636112
2014-01-15,61.055,61.112,60.773,53.880001,218500,47.653793
2014-01-16,60.784,60.795,60.614,53.759998,88400,47.547661
2014-01-17,61.055,61.248,60.942,53.970001,65600,47.733398
2014-01-21,61.293,61.293,60.739,53.93,102400,47.698029
2014-01-22,61.293,61.304,61.067,54.18,122600,47.919132
2014-01-23,60.727,60.773,60.151,53.41,128800,47.238113
2014-01-24,60.275,60.275,59.258,52.419998,396100,46.362507
2014-01-27,59.518,59.574,58.704,52.27,142000,46.229843
2014-01-28,59.461,60.083,59.178,53.139999,118500,46.999317
2014-01-29,59.009,59.031,58.545,51.860001,174700,45.867222
2014-01-30,58.907,59.201,58.783,52.27,196800,46.229843
2014-01-31,58.138,58.647,57.98,51.580002,176400,45.619583
2014-02-03,58.444,58.444,57.268,50.650002,164300,44.79705
2014-02-04,57.901,58.376,57.822,51.57,250900,45.610737
2014-02-05,58.229,58.364,57.89,51.580002,152200,45.619583
2014-02-06,58.636,59.156,58.387,52.27,174400,46.229843
2014-02-07,59.19,59.699,59.156,52.779999,112600,46.680908
2014-02-10,59.19,59.461,59.167,52.459999,187500,46.397888
2014-02-11,59.812,60.366,59.71,53.330002,185100,47.167366
2014-02-12,60.535,60.558,60.298,53.439999,107700,47.264645
2014-02-13,59.834,60.479,59.699,53.360001,85100,47.193893
2014-02-14,60.332,60.66,60.241,53.540001,52800,47.353088
2014-02-18,61.033,61.033,60.705,53.77,129700,47.556511
2014-02-19,60.784,61.112,60.558,53.599998,75700,47.406158
2014-02-20,60.784,61.033,60.547,53.919998,195600,47.689178
2014-02-21,61.055,61.078,60.795,53.84,67400,47.618427
2014-02-24,60.558,61.078,60.524,53.810001,120500,47.591892
2014-02-25,60.897,60.897,60.377,53.459999,82300,47.28233
2014-02-26,60.727,60.727,60.219,53.369999,90800,47.202728
2014-02-27,60.106,60.671,60.072,53.610001,66000,47.414997
2014-02-28,60.614,60.954,60.501,53.630001,80000,47.432686
2014-03-03,60.173,60.354,59.653,52.959999,89200,46.840107
2014-03-04,60.818,61.101,60.761,53.889999,99000,47.662643
2014-03-05,61.112,61.112,60.829,53.919998,44000,47.689178
2014-03-06,61.462,61.892,61.146,54.599998,80000,48.290592
2014-03-07,61.779,61.779,61.236,54.330002,82600,48.051796
2014-03-10,61.157,61.157,60.784,54.040001,105500,47.795315
2014-03-11,61.135,61.135,60.434,53.52,81700,47.3354
2014-03-12,59.993,60.4,59.936,53.360001,100600,47.193893
2014-03-13,60.479,60.479,59.246,52.57,85600,46.495182
2014-03-14,59.563,59.789,59.416,52.709999,112600,46.619011
2014-03-17,59.925,60.287,59.879,53.259998,95700,47.105442
2014-03-18,60.456,60.558,60.004,53.459999,91700,47.28233
2014-03-19,60.264,60.434,59.586,52.77,104600,46.672066
2014-03-20,59.077,59.269,58.749,52.259998,175600,46.221004
2014-03-21,59.518,59.891,59.416,52.580002,48800,46.504025
2014-03-24,59.8,59.925,59.28,52.560001,66600,46.48634
2014-03-25,59.891,60.128,59.687,52.959999,152500,46.840107
2014-03-26,60.32,60.32,59.676,52.869999,119600,46.760513
2014-03-27,60.151,60.411,60.072,53.369999,170600,47.202728
2014-03-28,60.614,61.055,60.614,53.82,70200,47.600731
2014-03-31,61.338,61.349,61.135,54.07,62200,47.821842
2014-04-01,61.53,61.621,61.383,54.43,112400,48.140244
2014-04-02,61.836,62.231,61.836,55,80800,48.644379
2014-04-03,62.209,62.231,61.734,54.84,91100,48.502861
2014-04-04,62.276,62.525,61.802,54.810001,141800,48.476334
2014-04-07,61.745,62.333,61.745,54.869999,89800,48.529396
2014-04-08,62.265,62.435,62.084,55.02,120000,48.66206
2014-04-09,62.491,62.83,62.197,55.560001,85700,49.139671
2014-04-10,62.751,62.751,61.892,54.790001,121300,48.458649
2014-04-11,62.016,62.163,61.711,54.709999,74100,48.387878
2014-04-14,62.05,62.209,61.881,54.970001,68900,48.617847
2014-04-15,61.982,62.129,61.293,54.790001,116800,48.458649
2014-04-16,62.299,62.491,62.107,55.200001,77800,48.821262
2014-04-17,62.729,62.864,62.559,55.599998,79200,49.175045
2014-04-21,62.695,62.853,62.39,55.27,69500,48.883179
2014-04-22,62.695,62.717,62.537,55.349998,71600,48.95393
2014-04-23,62.469,62.469,62.22,55.16,58900,48.785889
2014-04-24,62.525,62.548,62.209,55.130001,1243600,48.759357
2014-04-25,62.265,62.265,61.836,54.759998,98000,48.432102
