"Date","VSS.Open","VSS.High","VSS.Low","VSS.Close","VSS.Volume","VSS.Adjusted"
2013-05-23,107.158,107.81,106.585,95.790001,34500,85.172028
2013-05-24,106.967,107.349,106.517,95.290001,34700,84.727463
2013-05-28,108.069,108.733,107.338,95.610001,31100,85.011993
2013-05-29,107.597,107.788,106.888,95.510002,59900,84.923065
2013-05-30,107.405,108.193,107.147,95.919998,61600,85.287628
2013-05-31,107.181,107.271,106.123,94.360001,49300,83.900543
2013-06-03,106.123,106.944,105.943,95.040001,72500,84.50518
2013-06-04,106.978,107.079,105.853,94.459999,64000,83.989479
2013-06-05,105.719,105.831,104.594,93.150002,65100,82.824661
2013-06-06,104.684,105.224,104.358,93.480003,38000,83.11808
2013-06-07,105.381,105.91,104.886,93.870003,27000,83.464859
2013-06-10,105.921,105.988,105.224,93.760002,45700,83.36705
2013-06-11,104.144,104.493,103.683,92.540001,50600,82.282295
2013-06-12,104.718,105.707,103.705,92.220001,42000,81.997749
2013-06-13,103.672,105.122,103.672,93.470001,61000,83.109207
2013-06-14,104.875,104.886,103.818,92.57,33400,82.308945
2013-06-17,105.46,105.797,104.695,93.529999,96500,83.162552
2013-06-18,105.359,105.943,105.359,94.089996,31100,83.660477
2013-06-19,105.853,105.955,104.02,92.529999,79400,82.273407
2013-06-20,102.131,102.221,100.016,89.18,120100,79.294724
2013-06-21,100.77,101.636,99.297,89.440002,150500,79.525925
2013-06-24,96.666,97.212,95.63,86.93,90500,78.02166
2013-06-25,97.134,97.78,96.209,87.580002,194900,78.605049
2013-06-26,98.315,98.594,98.059,88.419998,35500,79.358971
2013-06-27,99.084,99.719,98.883,89.400002,230600,80.238533
2013-06-28,99.318,99.986,98.727,89.230003,96200,80.085968
2013-07-01,100.198,101.022,100.198,90.190002,66100,80.947601
2013-07-02,100.387,100.855,99.552,89.75,23700,80.552673
2013-07-03,99.63,100.488,99.24,89.959999,15800,80.741158
2013-07-05,100.465,100.532,99.44,90.050003,68400,80.82193
2013-07-08,100.332,101.023,100.321,90.449997,57000,81.180931
2013-07-09,101.323,102.393,100.443,90.809998,49100,81.504066
2013-07-10,101.078,101.947,101,90.82,45100,81.513016
