"Date","STIP.Open","STIP.High","STIP.Low","STIP.Close","STIP.Volume","STIP.Adjusted"
2016-05-02,101.895,101.945,101.854,100.550003,10500,99.222969
2016-05-03,102.047,102.047,101.945,100.629997,37900,99.301918
2016-05-04,101.966,102.006,101.854,100.620003,27800,99.292038
2016-05-05,102.016,102.037,101.956,100.690002,17800,99.361122
2016-05-06,102.057,102.067,101.945,100.650002,12600,99.321648
2016-05-09,102.037,102.037,101.956,100.669998,57300,99.341385
2016-05-10,102.057,102.118,102.006,100.760002,17900,99.430199
2016-05-11,102.168,102.219,102.077,100.75,17100,99.420341
2016-05-12,102.037,102.108,101.976,100.739998,12100,99.410454
2016-05-13,102.047,102.148,102.037,100.790001,10200,99.459801
2016-05-16,102.138,102.138,102.067,100.75,16800,99.420341
2016-05-17,102.158,102.229,102.097,100.790001,32500,99.459801
2016-05-18,102.077,102.077,101.773,100.480003,21500,99.153893
2016-05-19,101.824,101.885,101.763,100.5,28800,99.17363
2016-05-20,101.915,101.915,101.854,100.550003,33500,99.222969
2016-05-23,101.824,101.875,101.773,100.519997,13000,99.193359
2016-05-24,101.783,101.854,101.763,100.470001,12500,99.144028
2016-05-25,101.824,101.895,101.793,100.550003,22300,99.222969
2016-05-26,101.986,102.016,101.935,100.639999,22600,99.311783
2016-05-27,101.956,102.28,101.895,100.620003,15200,99.292038
2016-05-31,101.844,102.837,101.834,100.580002,32500,99.252579
2016-06-01,101.895,102.351,101.804,100.519997,26400,99.193359
2016-06-02,101.864,101.996,101.864,100.620003,15700,99.292038
2016-06-03,102.249,102.32,102.249,100.940002,8800,99.607826
2016-06-06,102.249,102.381,102.249,100.989998,20100,99.657158
2016-06-07,102.371,102.472,102.371,101.099998,18800,99.765717
2016-06-08,102.462,102.543,102.462,101.169998,22100,99.834785
2016-06-09,102.493,102.594,102.493,101.230003,137900,99.894005
2016-06-10,102.533,102.614,102.533,101.230003,72300,99.894005
2016-06-13,102.594,102.665,102.493,101.199997,33700,99.864395
2016-06-14,102.574,102.584,102.513,101.190002,477600,99.854523
2016-06-15,102.533,102.787,102.381,101.360001,85500,100.022278
2016-06-16,102.655,102.695,102.503,101.209999,25500,99.87426
2016-06-17,102.655,102.655,102.483,101.220001,25600,99.884132
2016-06-20,102.939,102.939,102.472,101.139999,19800,99.805176
