"Date","VMBS.Open","VMBS.High","VMBS.Low","VMBS.Close","VMBS.Volume","VMBS.Adjusted"
2012-10-23,57.527,57.571,57.484,52.709999,46900,48.323551
2012-10-24,57.549,57.549,57.462,52.709999,34400,48.323551
2012-10-25,57.495,57.495,57.418,52.689999,54300,48.305225
2012-10-26,57.527,57.527,57.451,52.68,17100,48.296055
2012-10-31,57.593,57.593,57.462,52.700001,37500,48.314392
2012-11-01,57.571,57.571,57.451,52.759998,42900,48.369396
2012-11-02,57.576,57.587,57.402,52.740002,49000,48.373993
2012-11-05,57.435,57.587,57.435,52.720001,220300,48.355652
2012-11-06,57.587,57.598,57.402,52.709999,357200,48.346489
2012-11-07,57.522,57.522,57.402,52.669998,26000,48.309776
2012-11-08,57.478,57.478,57.347,52.610001,57900,48.254761
2012-11-09,57.38,57.38,57.238,52.529999,27100,48.181358
2012-11-12,57.108,57.228,57.108,52.459999,137600,48.117165
2012-11-13,57.217,57.293,57.129,52.41,22300,48.071308
2012-11-14,57.118,57.217,57.064,52.349998,221400,48.016266
2012-11-15,57.129,57.184,57.031,52.360001,206900,48.025436
2012-11-16,57.173,57.217,57.042,52.389999,51400,48.052967
2012-11-19,57.173,57.228,57.064,52.490002,52700,48.144684
2012-11-20,57.238,57.238,57.129,52.419998,35900,48.08049
2012-11-21,57.184,57.195,57.097,52.439999,17500,48.09882
2012-11-23,57.206,57.217,57.053,52.439999,20300,48.09882
2012-11-26,57.217,57.217,57.129,52.459999,15800,48.117165
2012-11-27,57.238,57.271,57.184,52.5,15400,48.153858
2012-11-28,57.271,57.271,57.195,52.48,35400,48.135509
2012-11-29,57.238,57.271,57.151,52.529999,36400,48.181358
2012-11-30,57.319,57.319,57.188,52.549999,20600,48.205219
2012-12-03,57.177,57.297,57.177,52.560001,24500,48.214394
2012-12-04,57.341,57.395,57.297,52.650002,77100,48.29697
2012-12-05,57.395,57.395,57.297,52.599998,14700,48.251091
2012-12-06,57.395,57.395,57.286,52.610001,14500,48.260258
2012-12-07,57.341,57.374,57.221,52.630001,36100,48.27861
2012-12-10,57.308,57.363,57.243,52.59,22600,48.241924
2012-12-11,57.319,57.319,57.21,52.48,79300,48.141018
2012-12-12,57.308,57.363,57.221,52.5,73300,48.159348
2012-12-13,57.286,57.286,57.145,52.5,77600,48.159348
2012-12-14,57.254,57.254,57.188,52.5,71200,48.159348
2012-12-17,57.254,57.254,57.166,52.490002,63700,48.150169
2012-12-18,57.014,57.145,57.014,52.400002,75600,48.067627
2012-12-19,57.123,57.199,57.101,52.450001,63900,48.113495
2012-12-20,57.199,57.221,57.145,52.48,54700,48.141018
2012-12-21,57.232,57.243,57.134,52.48,62500,48.141018
2012-12-24,56.681,56.681,56.54,52.23,19200,48.164989
2012-12-26,56.519,56.671,56.519,52.25,103400,48.183422
2012-12-27,56.66,56.681,56.573,52.240002,75800,48.174202
2012-12-28,56.671,56.692,56.573,52.27,77600,48.20187
2012-12-31,56.692,56.692,56.551,52.200001,112300,48.137321
2013-01-02,56.714,56.714,56.573,52.169998,94300,48.109657
2013-01-03,56.606,56.801,56.606,52.349998,90900,48.275642
2013-01-04,56.757,56.757,56.627,52.27,94300,48.20187
2013-01-07,56.638,56.703,56.584,52.200001,81700,48.137321
2013-01-08,56.681,56.703,56.573,52.27,175400,48.20187
2013-01-09,56.692,56.703,56.616,52.290001,311600,48.220314
2013-01-10,56.627,56.627,56.53,52.130001,78000,48.072769
2013-01-11,56.584,56.606,56.508,52.150002,115600,48.091225
2013-01-14,56.725,56.725,56.551,52.169998,26900,48.109657
2013-01-15,56.714,56.714,56.606,52.23,99500,48.164989
2013-01-16,56.681,56.681,56.595,52.209999,69300,48.146542
2013-01-17,56.616,56.616,56.53,52.150002,93900,48.091225
2013-01-18,56.638,56.638,56.497,52.139999,134300,48.081993
2013-01-22,56.486,56.562,56.486,52.16,64300,48.100445
2013-01-23,56.616,56.616,56.519,52.169998,84000,48.109657
2013-01-24,56.627,56.627,56.497,52.169998,75300,48.109657
2013-01-25,56.584,56.584,56.432,52.07,78800,48.017433
2013-01-28,56.334,56.432,56.313,52.009998,78900,47.962116
2013-01-29,56.421,56.421,56.334,51.98,72000,47.934441
2013-01-30,56.378,56.378,56.334,51.990002,85900,47.943668
2013-01-31,56.446,56.446,56.316,51.990002,81200,47.959354
2013-02-01,56.37,56.468,56.338,51.970001,55200,47.940899
2013-02-04,56.457,56.479,56.392,52.080002,70800,48.042374
2013-02-05,56.533,56.533,56.424,52.07,102000,48.033157
2013-02-06,56.544,56.544,56.468,52.099998,76000,48.060822
2013-02-07,56.479,56.511,56.479,52.110001,72200,48.070049
2013-02-08,56.403,56.435,56.338,52.060001,61900,48.023918
2013-02-11,56.316,56.359,56.284,51.93,97900,47.904011
2013-02-12,56.381,56.403,56.327,51.959999,101100,47.931664
2013-02-13,56.435,56.435,56.294,51.93,101000,47.904011
2013-02-14,56.359,56.424,56.327,52.02,54800,47.987026
2013-02-15,56.479,56.479,56.338,52,62800,47.968575
2013-02-19,56.359,56.457,56.359,52.02,119900,47.987026
2013-02-20,56.446,56.446,56.359,51.990002,61500,47.959354
2013-02-21,56.468,56.468,56.403,52.049999,71400,48.014683
2013-02-22,56.479,56.479,56.392,52.040001,75800,48.005478
2013-02-25,56.5,56.5,56.359,52.099998,133200,48.060822
2013-02-26,56.479,56.587,56.479,52.130001,64100,48.088497
2013-02-27,56.717,56.717,56.489,52.150002,87100,48.106953
2013-02-28,56.524,56.535,56.492,52.169998,76000,48.141998
2013-03-01,56.513,56.643,56.513,52.169998,67800,48.141998
2013-03-04,56.687,56.687,56.578,52.240002,63300,48.206608
2013-03-05,56.676,56.676,56.557,52.23,89300,48.197372
2013-03-06,56.6,56.6,56.535,52.189999,94000,48.16048
2013-03-07,56.578,56.578,56.492,52.139999,61300,48.11433
2013-03-08,56.47,56.47,56.394,52.09,72900,48.068176
2013-03-11,56.405,56.405,56.297,51.990002,80800,47.975914
2013-03-12,56.34,56.427,56.34,52.060001,76100,48.040497
2013-03-13,56.524,56.524,56.351,52.049999,66400,48.031273
2013-03-14,56.34,56.481,56.34,52.110001,72000,48.086647
2013-03-15,56.427,56.568,56.427,52.200001,106900,48.169697
2013-03-18,56.611,56.622,56.535,52.23,95500,48.197372
2013-03-19,56.633,56.633,56.546,52.25,114800,48.215836
2013-03-20,56.611,56.633,56.502,52.189999,125700,48.16048
2013-03-21,56.6,56.6,56.47,52.18,119600,48.151234
2013-03-22,56.459,56.568,56.459,52.18,34500,48.151234
2013-03-25,56.568,56.589,56.481,52.209999,116000,48.178928
2013-03-26,56.6,56.6,56.535,52.220001,75700,48.188156
2013-03-27,56.654,56.654,56.546,52.189999,104700,48.16048
2013-03-28,56.598,56.598,56.479,52.150002,76400,48.143848
2013-04-01,56.555,56.63,56.544,52.209999,80500,48.199238
2013-04-02,56.695,56.695,56.598,52.32,71400,48.300789
2013-04-03,56.728,56.771,56.641,52.41,107100,48.383888
2013-04-04,56.804,56.847,56.663,52.48,68600,48.448498
2013-04-05,56.771,56.901,56.76,52.459999,78200,48.430046
2013-04-08,56.89,56.89,56.706,52.43,80900,48.402344
2013-04-09,56.609,56.728,56.609,52.290001,125600,48.273083
2013-04-10,56.587,56.717,56.565,52.259998,477100,48.245388
2013-04-11,56.609,56.739,56.609,52.34,72500,48.319237
2013-04-12,56.609,56.749,56.609,52.380001,46000,48.356174
2013-04-15,56.836,56.836,56.717,52.400002,84400,48.374645
2013-04-16,56.684,56.739,56.652,52.310001,77800,48.291569
2013-04-17,56.739,56.76,56.684,52.369999,51700,48.346947
2013-04-18,56.706,56.739,56.684,52.369999,64400,48.346947
2013-04-19,56.76,56.76,56.695,52.369999,12300,48.346947
2013-04-22,56.695,56.76,56.695,52.369999,44300,48.346947
2013-04-23,56.75,56.75,56.685,52.34,92700,48.319237
2013-04-24,56.674,56.739,56.663,52.32,48800,48.300789
2013-04-25,56.652,56.75,56.641,52.34,107700,48.319237
2013-04-26,56.652,56.749,56.652,52.389999,93200,48.365417
2013-04-29,56.684,56.749,56.674,52.389999,34600,48.365417
2013-04-30,56.712,56.766,56.701,52.380001,189400,48.379272
2013-05-01,56.668,56.744,56.668,52.389999,42400,48.3885
2013-05-02,56.712,56.787,56.701,52.43,66300,48.425446
2013-05-03,56.69,56.69,56.593,52.290001,30100,48.29612
2013-05-06,56.625,56.668,56.592,52.310001,151300,48.314617
2013-05-07,56.647,56.657,56.592,52.299999,55700,48.305382
2013-05-08,56.614,56.679,56.592,52.279999,105800,48.286911
2013-05-09,56.538,56.592,56.495,52.18,113800,48.194546
2013-05-10,56.506,56.549,56.365,52.139999,62400,48.157593
2013-05-13,56.398,56.473,56.354,52.080002,125100,48.102177
2013-05-14,56.408,56.441,56.311,52.040001,47100,48.065235
2013-05-15,56.419,56.419,56.3,52.040001,64500,48.065235
2013-05-16,56.343,56.452,56.343,52.110001,80300,48.12989
2013-05-17,56.387,56.419,56.3,52.029999,63000,48.056004
2013-05-20,56.343,56.376,56.192,51.91,87000,47.945148
2013-05-21,56.192,56.257,56.159,51.959999,112000,47.991348
2013-05-22,56.365,56.408,56.116,51.830002,56000,47.871277
2013-05-23,56.214,56.224,56.062,51.790001,49300,47.834324
2013-05-24,56.17,56.214,56.051,51.77,56100,47.815857
2013-05-28,56.051,56.094,55.878,51.619999,63700,47.677311
2013-05-29,55.802,55.91,55.78,51.59,93200,47.649616
2013-05-30,55.856,55.965,55.856,51.650002,54200,47.705029
2013-05-31,55.896,55.896,55.723,51.599998,212200,47.680077
2013-06-03,55.701,55.95,55.701,51.52,221600,47.606159
2013-06-04,55.756,55.842,55.701,51.560001,40900,47.643131
2013-06-05,55.777,55.788,55.691,51.5,28500,47.587677
2013-06-06,55.658,55.929,55.658,51.610001,90800,47.689327
2013-06-07,55.766,55.875,55.723,51.529999,16200,47.615398
2013-06-10,55.615,55.734,55.561,51.450001,23100,47.54147
2013-06-11,55.561,55.766,55.539,51.529999,43600,47.615398
2013-06-12,55.647,55.734,55.593,51.369999,28000,47.467545
2013-06-13,55.593,55.853,55.593,51.610001,47200,47.689327
2013-06-14,55.896,56.015,55.864,51.700001,18100,47.772472
2013-06-17,55.918,55.95,55.831,51.599998,53500,47.680077
2013-06-18,55.777,55.918,55.766,51.630001,32900,47.70779
2013-06-19,55.94,55.94,55.539,51.349998,46800,47.449066
2013-06-20,55.355,55.485,55.247,51.09,76000,47.208836
2013-06-21,55.236,55.344,54.955,50.810001,128100,46.950077
2013-06-24,54.695,54.966,54.489,50.689999,140700,46.839195
