"Date","VTEB.Open","VTEB.High","VTEB.Low","VTEB.Close","VTEB.Volume","VTEB.Adjusted"
2015-12-03,51.518,51.518,51.396,50.450001,64100,49.492092
2015-12-04,51.508,51.539,51.447,50.529999,66800,49.570572
2015-12-07,51.488,51.59,51.396,50.509998,41200,49.550949
2015-12-08,51.671,51.671,51.518,50.59,69900,49.629433
2015-12-09,51.61,51.641,51.528,50.580002,65500,49.619629
2015-12-10,51.59,51.641,51.518,50.650002,68400,49.688297
2015-12-11,51.804,51.916,51.753,50.889999,56400,49.923733
2015-12-14,51.773,51.773,51.6,50.689999,44000,49.727531
2015-12-15,51.732,51.732,51.63,50.709999,40500,49.747158
2015-12-16,51.63,51.691,51.579,50.700001,69300,49.737354
2015-12-17,51.824,51.834,51.722,50.849998,263800,49.884491
2015-12-18,51.722,51.814,51.702,50.82,132400,49.855064
2015-12-21,51.844,51.844,51.753,50.82,56700,49.855064
2015-12-22,51.783,51.814,51.641,50.66,65500,49.698109
2015-12-23,51.597,51.637,51.576,50.759998,48600,49.897652
2015-12-24,51.637,51.769,51.586,50.880001,185400,50.015621
2015-12-28,51.749,51.759,51.678,50.860001,217300,49.99596
2015-12-29,51.78,51.831,51.739,50.91,119300,50.045116
2015-12-30,51.82,51.861,51.79,50.91,141700,50.045116
2015-12-31,51.851,51.892,51.841,50.990002,60500,50.123745
2016-01-04,51.942,51.983,51.881,51.049999,68300,50.182724
2016-01-05,51.942,52.054,51.912,51.130001,68100,50.261368
2016-01-06,52.146,52.278,52.105,51.34,110400,50.467804
2016-01-07,52.258,52.258,52.146,51.310001,103000,50.438309
2016-01-08,52.197,52.237,52.136,51.349998,123500,50.477634
2016-01-11,52.156,52.156,51.993,51.209999,93500,50.340012
2016-01-12,52.146,52.146,51.993,51.18,116000,50.31052
2016-01-13,52.115,52.146,52.075,51.23,29100,50.359673
2016-01-14,52.136,52.197,52.075,51.189999,63400,50.320351
2016-01-15,52.156,52.37,52.156,51.27,206700,50.398991
