"Date","IQDF.Open","IQDF.High","IQDF.Low","IQDF.Close","IQDF.Volume","IQDF.Adjusted"
2015-04-21,28.755,28.898,28.755,26.200001,40800,23.8447
2015-04-22,28.777,28.92,28.766,26.280001,23400,23.917505
2015-04-23,28.876,29.118,28.766,26.459999,21900,24.081326
2015-04-24,29.216,29.348,29.194,26.65,37600,24.254244
2015-04-27,29.535,29.612,29.491,26.84,25800,24.427162
2015-04-28,29.436,29.546,29.436,26.889999,5900,24.472672
2015-04-29,29.282,29.37,29.227,26.67,15800,24.272444
2015-04-30,29.304,29.304,29.074,26.48,62900,24.099524
2015-05-01,29.063,29.293,29.063,26.66,49800,24.263342
2015-05-04,29.195,29.381,29.195,26.74,54200,24.336151
2015-05-05,29.194,29.315,29.03,26.49,59100,24.108631
2015-05-06,29.238,29.238,28.997,26.440001,249700,24.06312
2015-05-07,29.052,29.052,28.821,26.309999,123600,23.944807
2015-05-08,29.348,29.513,29.304,26.83,248500,24.41806
2015-05-11,29.282,29.293,29.151,26.530001,63100,24.145031
2015-05-12,29.074,29.216,29.063,26.57,72300,24.181437
2015-05-13,29.337,29.381,29.26,26.67,5900,24.272444
2015-05-14,29.634,29.634,29.414,26.889999,35300,24.472672
2015-05-15,29.381,29.623,29.348,26.959999,151700,24.536373
2015-05-18,29.403,29.48,29.37,26.77,76500,24.363455
2015-05-19,29.216,29.26,29.216,26.610001,6900,24.21784
2015-05-20,29.118,29.282,29.118,26.59,25200,24.199638
2015-05-21,29.096,29.381,29.096,26.690001,13300,24.290646
2015-05-22,29.14,29.184,29.129,26.540001,29700,24.154133
2015-05-26,28.942,28.942,28.678,26.1,40600,23.753687
2015-05-27,28.711,28.942,28.711,26.33,22100,23.963011
2015-05-28,28.832,28.832,28.656,26.24,48900,23.881102
2015-05-29,28.777,28.777,28.403,25.940001,71200,23.608072
2015-06-01,28.436,28.447,28.272,25.799999,43600,23.480656
2015-06-02,28.337,28.601,28.337,25.950001,51800,23.617172
2015-06-03,28.535,28.656,28.535,25.969999,12800,23.635376
2015-06-04,28.513,28.513,28.151,25.620001,54600,23.316835
2015-06-05,28.019,28.019,27.854,25.4,9800,23.116613
2015-06-08,27.876,27.964,27.843,25.450001,125600,23.162123
2015-06-09,27.832,27.887,27.788,25.309999,53400,23.034702
2015-06-10,28.14,28.315,28.118,25.67,112300,23.362341
2015-06-11,28.304,28.392,28.261,25.77,30300,23.453352
2015-06-12,28.03,28.173,28.03,25.559999,27800,23.26223
2015-06-15,27.799,27.986,27.799,25.469999,41000,23.180321
2015-06-16,27.92,28.052,27.898,25.51,33500,23.216726
2015-06-17,27.953,28.118,27.777,25.58,48500,23.28043
2015-06-18,28.162,28.458,28.162,25.799999,52500,23.480656
2015-06-19,27.302,27.367,27.291,25.280001,42300,23.407509
2015-06-22,27.669,27.788,27.669,25.67,11500,23.76862
2015-06-23,27.853,27.875,27.702,25.700001,86300,23.796398
2015-06-24,27.626,27.669,27.551,25.540001,91600,23.648249
2015-06-25,27.745,27.745,27.475,25.440001,26400,23.555653
2015-06-26,27.432,27.507,27.313,25.42,43500,23.537138
2015-06-29,26.913,27,26.611,24.68,84900,22.85195
2015-06-30,26.87,26.87,26.535,24.709999,43000,22.879726
2015-07-01,26.903,26.946,26.687,24.780001,45100,22.944544
2015-07-02,26.795,26.805,26.697,24.82,25500,22.981579
2015-07-06,26.449,26.449,26.179,24.34,24300,22.537134
2015-07-07,25.887,26.233,25.704,24.27,23500,22.472319
2015-07-08,25.661,25.747,25.509,23.67,135500,21.916759
2015-07-09,25.855,26.103,25.855,24.01,13000,22.231575
2015-07-10,26.643,26.708,26.535,24.719999,215700,22.888985
2015-07-13,26.741,26.795,26.708,24.77,43800,22.935284
2015-07-14,27,27,26.762,24.9,23100,23.055655
2015-07-15,26.751,26.805,26.579,24.709999,304900,22.879726
2015-07-16,26.957,26.989,26.913,24.92,8800,23.074171
2015-07-17,26.924,26.924,26.838,24.889999,22800,23.046392
2015-07-20,26.881,26.903,26.827,24.870001,13300,23.027876
2015-07-21,26.784,26.838,26.773,24.84,23300,23.000099
2015-07-22,26.514,26.579,26.492,24.59,19500,22.768616
2015-07-23,26.535,26.546,26.395,24.440001,39600,22.629726
2015-07-24,26.319,26.341,26.06,24.200001,86300,22.407505
2015-07-27,25.931,26.028,25.877,24.02,63600,22.240837
2015-07-28,26.039,26.244,25.995,24.290001,32400,22.490837
2015-07-29,26.19,26.525,26.19,24.469999,107100,22.657501
2015-07-30,26.33,26.438,26.309,24.469999,33100,22.657501
2015-07-31,26.87,26.87,26.492,24.559999,19100,22.740837
2015-08-03,26.503,26.503,26.298,24.35,22300,22.546392
2015-08-04,26.557,26.589,26.427,24.48,23400,22.666761
2015-08-05,26.622,26.622,26.492,24.559999,33000,22.740837
2015-08-06,26.427,26.471,26.319,24.42,30200,22.61121
2015-08-07,26.276,26.33,26.244,24.370001,34300,22.564911
2015-08-10,26.449,26.697,26.449,24.709999,44600,22.879726
2015-08-11,26.341,26.384,26.19,24.360001,42800,22.555653
2015-08-12,25.963,26.179,25.887,24.24,24900,22.44454
2015-08-13,26.028,26.157,26.028,24.15,62700,22.361204
2015-08-14,26.06,26.136,26.017,24.16,32300,22.370466
2015-08-17,25.931,26.017,25.833,24.059999,33200,22.277874
2015-08-18,25.844,25.877,25.79,23.92,64200,22.148243
2015-08-19,25.531,25.693,25.401,23.700001,26500,21.944536
2015-08-20,25.315,25.315,25.077,23.219999,899500,21.500092
2015-08-21,24.937,24.991,24.483,22.67,1404300,20.990831
2015-08-24,23.76,24.095,23.252,21.889999,738900,20.268604
2015-08-25,24.332,24.494,23.803,22.08,262500,20.444534
2015-08-26,24.224,24.397,23.922,22.59,83000,20.916758
2015-08-27,24.494,24.786,24.494,22.879999,162100,21.185278
2015-08-28,24.775,24.786,24.624,22.940001,133700,21.240831
2015-08-31,24.818,24.818,24.397,22.77,177100,21.083424
2015-09-01,24.138,24.138,23.652,21.9,74400,20.277863
2015-09-02,24.321,24.321,23.738,22.15,371100,20.509348
2015-09-03,23.933,24.181,23.933,22.23,73100,20.58342
2015-09-04,23.619,23.619,23.35,21.719999,40900,20.111197
2015-09-08,24.041,24.149,23.965,22.360001,74800,20.703793
2015-09-09,24.494,24.494,23.987,22.209999,35100,20.564901
2015-09-10,24.095,24.267,24.041,22.379999,56600,20.722309
2015-09-11,23.965,24.159,23.965,22.370001,67700,20.713051
2015-09-14,23.9,24.062,23.9,22.219999,240000,20.574162
2015-09-15,23.922,24.17,23.922,22.360001,305800,20.703793
2015-09-16,24.17,24.602,24.17,22.77,232000,21.083424
2015-09-17,24.559,24.98,24.451,22.809999,190400,21.120459
2015-09-18,23.767,23.916,23.596,22.139999,392200,20.727259
2015-09-21,23.692,23.692,23.489,22.09,46700,20.68045
2015-09-22,23.232,23.232,22.859,21.549999,51000,20.174908
2015-09-23,22.901,23.008,22.805,21.379999,228000,20.015755
2015-09-24,22.581,22.837,22.485,21.280001,87400,19.922136
2015-09-25,22.965,23.04,22.741,21.360001,50900,19.997032
2015-09-28,22.581,22.602,22.292,20.92,77500,19.585106
2015-09-29,22.314,22.506,22.25,20.969999,58500,19.631916
2015-09-30,22.538,22.784,22.538,21.32,22900,19.959583
2015-10-01,22.901,22.987,22.73,21.379999,208600,20.015755
2015-10-02,22.677,23.339,22.677,21.83,41700,20.437042
2015-10-05,23.681,23.841,23.66,22.280001,144800,20.858326
2015-10-06,23.628,23.927,23.628,22.360001,58700,20.933224
2015-10-07,24.258,24.354,24.13,22.74,26700,21.288975
2015-10-08,24.183,24.61,24.183,23.040001,48200,21.569832
2015-10-09,24.749,24.749,24.589,23.09,39400,21.61664
2015-10-12,24.696,24.696,24.621,23.049999,72800,21.579193
2015-10-13,24.429,24.429,24.215,22.68,169900,21.232803
2015-10-14,24.386,24.461,24.322,22.83,16800,21.373232
2015-10-15,24.578,24.76,24.578,23.16,100200,21.682175
2015-10-16,24.781,24.856,24.717,23.27,34500,21.785156
2015-10-19,24.621,24.674,24.514,23.1,55100,21.626005
2015-10-20,24.536,24.589,24.493,22.940001,138700,21.476212
2015-10-21,24.621,24.642,24.429,22.870001,45700,21.410679
2015-10-22,24.674,24.813,24.61,23.1,91600,21.626005
2015-10-23,24.845,24.877,24.717,23.26,614200,21.775793
2015-10-26,24.867,24.899,24.739,23.200001,64100,21.719624
2015-10-27,24.717,24.717,24.439,22.91,19700,21.448128
2015-10-28,24.546,24.717,24.343,22.93,55600,21.46685
2015-10-29,24.29,24.429,24.29,22.84,135400,21.382593
2015-10-30,24.418,24.514,24.418,22.879999,16500,21.42004
2015-11-02,24.546,24.685,24.546,23.110001,36700,21.635366
2015-11-03,24.621,24.888,24.621,23.24,74000,21.757069
2015-11-04,24.717,24.845,24.568,23.09,54900,21.61664
2015-11-05,24.835,24.835,24.536,23.030001,43200,21.560471
2015-11-06,24.343,24.354,24.076,22.799999,210800,21.345146
2015-11-09,24.151,24.194,23.969,22.549999,57900,21.111097
2015-11-10,23.991,24.023,23.895,22.440001,84800,21.008116
2015-11-11,24.13,24.172,24.002,22.5,50600,21.064289
2015-11-12,23.863,23.895,23.67,22.16,37100,20.745983
2015-11-13,23.617,23.638,23.457,21.98,156300,20.577469
2015-11-16,23.596,23.799,23.542,22.24,53300,20.820877
2015-11-17,23.692,23.991,23.692,22.34,65900,20.914497
2015-11-18,23.799,24.151,23.799,22.610001,151000,21.167269
2015-11-19,24.343,24.343,24.247,22.780001,245300,21.326424
2015-11-20,24.504,24.504,24.247,22.700001,30500,21.251526
2015-11-23,24.172,24.215,24.002,22.49,401900,21.054926
2015-11-24,23.916,24.066,23.852,22.5,98500,21.064289
2015-11-25,23.916,24.087,23.916,22.49,276600,21.054926
2015-11-27,23.991,23.991,23.937,22.42,15100,20.989393
2015-11-30,23.905,23.927,23.799,22.33,57200,20.905134
2015-12-01,24.034,24.13,24.002,22.59,179100,21.148548
2015-12-02,23.98,24.076,23.809,22.32,164700,20.895775
2015-12-03,24.044,24.076,23.767,22.309999,276300,20.886412
2015-12-04,23.734,23.937,23.734,22.379999,43100,20.951944
2015-12-07,23.991,23.991,23.542,22.1,52200,20.689814
2015-12-08,23.19,23.403,23.158,21.780001,178200,20.390232
2015-12-09,23.339,23.489,23.158,21.76,180100,20.37151
2015-12-10,23.2,23.254,23.072,21.6,171700,20.221718
2015-12-11,22.752,22.773,22.56,21.18,272300,19.828518
2015-12-14,22.709,22.709,22.463,21.18,99600,19.828518
2015-12-15,22.698,22.976,22.698,21.43,226000,20.062565
2015-12-16,23.115,23.329,22.976,21.799999,528800,20.408955
2015-12-17,23.264,23.264,22.944,21.48,753400,20.109375
2015-12-18,22.944,22.955,22.784,21.34,119700,19.978306
2015-12-21,23.062,23.072,22.773,21.51,204500,20.137459
2015-12-22,22.955,23.051,22.88,21.57,67000,20.19363
2015-12-23,23.275,23.446,23.254,21.93,353700,20.530663
2015-12-24,23.446,23.467,23.393,21.92,94600,20.521296
2015-12-28,23.414,23.414,23.275,21.860001,260000,20.465128
2015-12-29,23.236,23.247,23.12,21.879999,390600,20.631081
2015-12-30,23.088,23.098,22.992,21.690001,357400,20.451927
2015-12-31,22.939,22.982,22.823,21.52,103100,20.29163
2016-01-04,22.43,22.441,22.165,21.16,81800,19.952179
2016-01-05,22.345,22.367,22.197,21.02,110700,19.820171
2016-01-06,21.921,22.006,21.847,20.719999,44400,19.537291
