"Date","VYM.Open","VYM.High","VYM.Low","VYM.Close","VYM.Volume","VYM.Adjusted"
2011-10-03,48.055,48.532,47.087,39.43,418300,33.017975
2011-10-04,46.574,47.971,46.12,40.07,581700,33.553879
2011-10-05,48.078,48.556,47.613,40.639999,315100,34.031189
2011-10-06,48.52,49.105,48.138,41.049999,442500,34.374519
2011-10-07,49.392,49.559,48.867,41.07,533700,34.391277
2011-10-10,49.906,50.419,49.786,42.169998,502900,35.312382
2011-10-11,50.156,50.383,50.013,42.080002,266300,35.237022
2011-10-12,50.682,51.076,50.443,42.43,915600,35.530113
2011-10-13,50.491,50.73,50.156,42.389999,216800,35.496609
2011-10-14,51.195,51.219,50.813,42.889999,250600,35.915295
2011-10-17,51.088,51.1,50.371,42.27,357300,35.396122
2011-10-18,50.371,51.661,50.168,42.970001,591500,35.982296
2011-10-19,51.374,51.661,50.897,42.73,288300,35.781322
2011-10-20,51.136,51.398,50.682,42.939999,375800,35.957169
2011-10-21,51.769,52.151,51.697,43.669998,447200,36.568459
2011-10-24,52.234,52.473,52.127,43.880001,514600,36.74432
2011-10-25,52.246,52.246,51.446,43.200001,402100,36.174889
2011-10-26,52.115,52.222,51.386,43.650002,378300,36.551716
2011-10-27,53.249,53.679,52.784,44.73,956600,37.456081
2011-10-28,53.154,53.285,53.046,44.599998,448600,37.347218
2011-10-31,52.724,52.855,52.151,43.68,650900,36.576836
2011-11-01,51.064,51.589,50.813,42.720001,1201600,35.772953
2011-11-02,51.685,51.828,51.291,43.290001,692600,36.250252
2011-11-03,52.198,52.581,51.721,43.970001,438200,36.819675
2011-11-04,52.186,52.246,51.673,43.73,510000,36.618702
2011-11-07,52.222,52.628,51.792,44.07,629700,36.903412
2011-11-08,52.879,53.202,52.378,44.52,628400,37.280235
2011-11-09,52.067,52.33,51.398,43.200001,475300,36.174889
2011-11-10,52.234,52.342,51.649,43.669998,628600,36.568459
2011-11-11,52.796,53.118,52.7,44.380001,254000,37.162998
2011-11-14,52.903,52.903,52.342,44,434300,36.844799
2011-11-15,52.521,52.963,52.27,44.139999,387300,36.962032
2011-11-16,52.306,52.819,51.912,43.540001,534700,36.459595
2011-11-17,51.948,52.103,51.112,43.099998,598900,36.091152
2011-11-18,51.709,51.745,51.291,43.110001,452700,36.099518
2011-11-21,50.968,50.968,50.3,42.419998,560500,35.521732
2011-11-22,50.574,50.753,50.216,42.220001,528800,35.354259
2011-11-23,50.085,50.085,49.44,41.450001,423600,34.709476
2011-11-25,49.452,49.87,49.416,41.380001,398500,34.650864
2011-11-28,50.574,50.753,50.276,42.380001,322000,35.488235
2011-11-29,50.741,51.183,50.67,42.669998,267300,35.731075
2011-11-30,52.222,52.831,52.139,44.23,320800,37.037392
2011-12-01,52.807,52.963,52.557,44.110001,377400,36.936909
2011-12-02,53.154,53.154,52.521,44.029999,375200,36.869919
2011-12-05,53.333,53.333,52.664,44.349998,290100,37.137878
2011-12-06,53.01,53.464,52.867,44.509998,359300,37.271847
2011-12-07,53.07,53.536,52.724,44.610001,254100,37.355595
2011-12-08,53.142,53.142,52.282,43.919998,366800,36.777794
2011-12-09,52.521,53.309,52.521,44.549999,340400,37.305351
2011-12-12,52.927,52.927,52.246,44.07,330000,36.903412
2011-12-13,52.975,53.19,52.246,43.939999,284400,36.794559
2011-12-14,52.401,52.521,51.972,43.630001,375100,36.534969
2011-12-15,52.569,52.772,52.342,43.959999,661900,36.811306
2011-12-16,52.772,52.939,52.413,44.049999,293600,36.886669
2011-12-19,52.76,52.855,51.972,43.639999,596900,36.543335
2011-12-20,52.807,53.488,52.807,44.77,451700,37.489582
2011-12-21,52.578,52.981,52.413,44.73,1071800,37.772469
2011-12-22,53.111,53.301,52.957,44.939999,1003500,37.949799
2011-12-23,53.502,53.774,53.336,45.41,630900,38.34671
