"Date","PSK.Open","PSK.High","PSK.Low","PSK.Close","PSK.Volume","PSK.Adjusted"
2012-02-14,62.959,63.072,62.846,44.779999,37100,31.793135
2012-02-15,63.17,63.241,62.987,44.77,23100,31.786034
2012-02-16,63.213,63.213,62.931,44.77,32300,31.786034
2012-02-17,62.959,63.283,62.959,44.919998,30500,31.892538
2012-02-21,63.508,64.17,63.213,44.93,35100,31.899626
2012-02-22,63.199,63.339,63.199,44.970001,24800,31.928032
2012-02-23,63.353,63.508,63.353,45.09,22800,32.013229
2012-02-24,63.945,63.945,63.551,45.169998,33500,32.07003
2012-02-27,63.551,63.846,63.522,45.259998,35400,32.133934
2012-02-28,63.79,63.832,63.691,45.279999,297700,32.148129
2012-02-29,64.03,64.086,63.861,45.360001,51200,32.204922
2012-03-01,63.931,63.973,63.804,45.32,36000,32.176529
2012-03-02,63.846,63.931,63.818,45.389999,38700,32.226231
2012-03-05,63.762,63.959,63.691,45.299999,35600,32.162323
2012-03-06,63.635,63.635,63.339,45.02,35600,31.96353
2012-03-07,63.537,63.875,63.508,45.119999,43300,32.034519
2012-03-08,63.748,63.776,63.382,45.27,45400,32.141037
2012-03-09,63.832,63.945,63.804,45.400002,45600,32.233322
2012-03-12,63.903,63.973,63.72,45.34,160300,32.190731
2012-03-13,64.213,64.297,64.086,45.610001,170600,32.38242
2012-03-14,64.213,64.213,64.044,45.48,39300,32.290123
2012-03-15,64.353,64.353,63.832,45.34,38300,32.190731
2012-03-16,62.581,62.637,62.47,44.939999,40000,32.243095
2012-03-19,62.637,62.693,62.637,44.939999,27300,32.243095
2012-03-20,62.442,62.665,62.274,44.959999,21300,32.257454
2012-03-21,62.665,62.706,62.567,44.970001,20100,32.264618
2012-03-22,62.483,62.651,62.483,44.889999,41200,32.207226
2012-03-23,62.581,62.748,62.581,45.02,37200,32.300503
2012-03-26,62.888,62.888,62.72,45.02,27100,32.300503
2012-03-27,62.762,62.776,62.581,44.900002,80000,32.214413
2012-03-28,62.72,62.79,62.651,45,44700,32.286152
2012-03-29,62.651,62.79,62.651,44.959999,51400,32.257454
2012-03-30,62.776,62.776,62.609,44.919998,32100,32.228745
2012-04-02,62.581,62.693,62.553,44.919998,40500,32.228745
2012-04-03,62.595,62.679,62.539,44.959999,29600,32.257454
2012-04-04,62.456,62.609,62.442,44.900002,27200,32.214413
2012-04-05,62.456,62.581,62.386,44.889999,17800,32.207226
2012-04-09,62.344,62.483,62.288,44.82,18500,32.157013
2012-04-10,62.344,62.497,62.121,44.66,128900,32.042206
2012-04-11,62.372,62.372,62.107,44.619999,29700,32.013512
2012-04-12,62.358,62.693,62.302,44.959999,15400,32.257454
2012-04-13,62.623,62.623,62.4,44.91,21600,32.221573
2012-04-16,62.748,62.748,62.511,44.970001,29900,32.264618
2012-04-17,62.818,62.832,62.651,44.959999,20200,32.257454
2012-04-18,62.581,62.734,62.511,44.849998,26600,32.178532
2012-04-19,62.372,62.637,62.372,44.91,27700,32.221573
2012-04-20,62.623,62.679,62.47,44.830002,26700,32.164177
2012-04-23,62.233,62.442,62.233,44.799999,30700,32.142658
2012-04-24,62.525,62.609,62.442,44.900002,33600,32.214413
2012-04-25,62.734,62.734,62.567,44.950001,69400,32.250286
2012-04-26,62.706,62.748,62.637,44.959999,117500,32.257454
2012-04-27,62.79,62.818,62.651,45.07,120100,32.33638
2012-04-30,62.957,62.957,62.79,45.080002,33000,32.343555
2012-05-01,62.86,62.957,62.832,45.16,51400,32.400944
2012-05-02,62.86,62.985,62.86,45.150002,42000,32.393772
2012-05-03,62.957,63.055,62.929,45.240002,32000,32.458344
2012-05-04,62.943,63.069,62.929,45.220001,25100,32.443996
2012-05-07,62.985,63.125,62.902,45.27,41000,32.479877
2012-05-08,63.027,63.097,62.971,45.209999,48500,32.436813
2012-05-09,62.943,63.013,62.72,45.07,48900,32.33638
2012-05-10,62.971,63.027,62.902,45.150002,49300,32.393772
2012-05-11,62.762,62.957,62.637,44.959999,35000,32.257454
2012-05-14,62.706,62.706,62.372,44.759998,51000,32.113956
2012-05-15,62.511,62.511,62.316,44.720001,30000,32.085251
2012-05-16,62.302,62.72,62.233,44.740002,19900,32.099609
2012-05-17,62.372,62.372,61.466,44.130001,104800,31.661953
2012-05-18,61.689,61.689,60.741,43.740002,153800,31.382135
2012-05-21,60.881,61.842,60.881,44.369999,69400,31.834141
2012-05-22,61.94,62.525,61.94,44.599998,47700,31.999161
2012-05-23,61.787,62.344,61.787,44.709999,21000,32.078079
2012-05-24,62.442,62.623,62.386,44.869999,32700,32.192879
2012-05-25,62.511,62.637,62.372,44.939999,30300,32.243095
2012-05-29,62.832,62.957,62.623,45.16,140600,32.400944
2012-05-30,62.693,62.846,62.511,44.849998,20500,32.178532
2012-05-31,62.609,62.762,62.316,44.91,58000,32.221573
2012-06-01,62.26,62.302,61.856,44.619999,33700,32.013512
2012-06-04,62.219,62.4,62.065,44.73,50800,32.092434
2012-06-05,62.219,62.72,62.219,44.830002,29700,32.164177
2012-06-06,63.18,63.18,62.818,45.099998,166900,32.357903
2012-06-07,63.111,63.111,62.79,45.09,151600,32.350723
2012-06-08,63.612,63.612,62.734,45.049999,83200,32.322021
2012-06-11,63.083,63.083,62.706,45,102600,32.286152
2012-06-12,62.86,62.929,62.665,45.150002,67700,32.393772
2012-06-13,62.818,62.985,62.762,45.169998,80500,32.408119
2012-06-14,63.069,63.083,62.874,45.259998,126300,32.472694
2012-06-15,61.244,61.244,61.052,44.650002,49600,32.559475
2012-06-18,61.066,61.34,61.066,44.630001,260300,32.544891
2012-06-19,61.614,61.614,61.285,44.779999,53000,32.654266
2012-06-20,61.683,61.683,61.367,44.950001,49100,32.778236
2012-06-21,61.875,61.875,61.436,44.869999,47100,32.719898
2012-06-22,61.669,61.669,61.504,44.919998,37400,32.756355
2012-06-25,61.546,61.546,61.436,44.869999,43900,32.719898
2012-06-26,61.546,61.669,61.532,44.970001,50500,32.792812
2012-06-27,61.614,62.272,61.614,45.049999,60000,32.851151
2012-06-28,61.724,61.957,61.655,45.18,145100,32.945957
2012-06-29,62.368,62.368,61.861,45.25,82500,32.997002
2012-07-02,62.3,62.3,61.751,45.41,161700,33.11367
2012-07-03,62.3,62.368,61.998,45.48,52000,33.164719
2012-07-05,62.272,62.368,62.012,45.459999,86200,33.150139
2012-07-06,62.314,62.437,62.259,45.5,101400,33.179306
2012-07-09,62.464,62.56,62.3,45.549999,35600,33.215759
2012-07-10,62.643,62.643,62.314,45.529999,36300,33.20118
2012-07-11,62.519,62.519,62.272,45.549999,38700,33.215759
2012-07-12,62.41,62.547,62.286,45.549999,71700,33.215759
2012-07-13,62.56,62.711,62.56,45.689999,78900,33.31786
2012-07-16,63.095,63.095,62.519,45.810001,125400,33.405365
2012-07-17,62.807,62.958,62.67,45.779999,219500,33.383484
2012-07-18,62.848,62.972,62.794,45.880001,137800,33.456402
2012-07-19,62.999,63.013,62.835,45.869999,42600,33.449116
2012-07-20,62.835,62.917,62.739,45.860001,66500,33.441822
2012-07-23,62.752,62.807,62.67,45.790001,144500,33.390774
2012-07-24,62.889,63.301,62.464,45.650002,41400,33.288692
2012-07-25,62.821,62.821,62.478,45.599998,44200,33.252228
2012-07-26,62.656,62.725,62.533,45.689999,45600,33.31786
2012-07-27,62.78,62.876,62.711,45.810001,52600,33.405365
2012-07-30,62.862,62.931,62.698,45.810001,136500,33.405365
2012-07-31,62.574,63.452,62.574,45.84,38800,33.427235
2012-08-01,62.999,62.999,62.807,45.82,47600,33.412659
2012-08-02,62.862,62.931,62.588,45.799999,53200,33.398056
2012-08-03,63.054,63.095,62.698,45.799999,47600,33.398056
2012-08-06,62.972,63.15,62.972,46.029999,63800,33.565784
2012-08-07,63.219,63.219,63.081,46,49600,33.543911
2012-08-08,63.109,63.191,63.068,46.080002,76500,33.602249
2012-08-09,63.205,63.397,63.191,46.119999,77300,33.631416
2012-08-10,63.246,63.246,62.985,45.93,43500,33.492867
2012-08-13,63.15,63.219,63.04,45.98,99600,33.529324
2012-08-14,63.219,63.246,62.999,46.009998,75000,33.551197
2012-08-15,63.15,63.178,62.972,45.990002,58100,33.536613
2012-08-16,63.205,63.205,62.862,45.919998,58700,33.485573
2012-08-17,63.027,63.068,62.944,45.959999,55400,33.514744
2012-08-20,63.123,63.15,62.739,45.91,59300,33.478291
2012-08-21,62.972,63.013,62.862,45.880001,32200,33.456402
2012-08-22,62.752,63.013,62.752,45.889999,389600,33.463703
2012-08-23,62.917,63.054,62.835,45.970001,31600,33.522034
2012-08-24,63.04,63.164,62.423,46.060001,292000,33.587662
2012-08-27,63.164,63.232,63.013,46.080002,182500,33.602249
2012-08-28,63.177,63.342,63.123,46.18,46700,33.675163
2012-08-29,63.342,63.397,63.232,46.220001,79100,33.704346
2012-08-30,63.356,63.493,63.315,46.299999,93400,33.762676
2012-08-31,63.616,63.616,63.397,46.290001,49000,33.75539
2012-09-04,63.479,63.479,63.246,46.279999,142400,33.7481
2012-09-05,63.52,63.52,63.438,46.299999,104500,33.762676
2012-09-06,63.438,63.575,63.438,46.360001,78700,33.806431
2012-09-07,63.603,63.603,63.493,46.380001,31900,33.821011
2012-09-10,63.561,63.671,63.534,46.400002,76200,33.835602
2012-09-11,63.644,63.685,63.548,46.369999,47000,33.813713
2012-09-12,63.657,63.699,63.575,46.450001,60700,33.872055
2012-09-13,63.781,63.849,63.644,46.5,38600,33.908516
2012-09-14,63.753,63.822,63.63,46.48,32100,33.89394
