"Date","SCHH.Open","SCHH.High","SCHH.Low","SCHH.Close","SCHH.Volume","SCHH.Adjusted"
2015-06-09,38.899,39.056,38.637,36.900002,413800,35.20332
2015-06-10,38.668,39.349,38.647,37.209999,294500,35.499058
2015-06-11,39.307,39.391,39.15,37.450001,183800,35.728031
2015-06-12,39.234,39.37,39.14,37.41,347400,35.689873
2015-06-15,39.171,39.171,38.909,37.220001,296300,35.508602
2015-06-16,39.108,39.412,38.972,37.560001,398300,35.83297
2015-06-17,39.444,39.716,39.098,37.849998,225300,36.109631
2015-06-18,39.685,40.408,39.685,38.389999,213000,36.624805
2015-06-19,40.177,40.177,39.779,38.049999,333100,36.300442
2015-06-22,39.515,39.65,39.035,37.450001,257400,35.919662
2015-06-23,38.952,39.004,38.66,37.150002,258900,35.631924
2015-06-24,38.754,38.92,38.535,36.98,345200,35.468868
2015-06-25,38.628,38.628,38.159,36.599998,464800,35.104393
2015-06-26,38.128,38.535,38.045,36.84,715900,35.334591
2015-06-29,38.378,38.681,37.794,36.27,457900,34.78788
2015-06-30,38.065,38.201,37.732,36.32,401400,34.835838
2015-07-01,37.888,38.462,37.763,36.880001,930600,35.372952
2015-07-02,38.701,39.066,38.524,37.040001,399900,35.526417
2015-07-06,38.483,38.858,38.43,37.200001,245500,35.679874
2015-07-07,39.004,39.494,39.004,37.799999,310700,36.25536
2015-07-08,39.264,39.421,39.181,37.700001,235600,36.159447
2015-07-09,39.483,39.515,39.046,37.560001,223400,36.025169
2015-07-10,39.264,39.723,39.212,37.82,255600,36.27454
2015-07-13,39.546,39.932,39.275,37.860001,160400,36.312912
2015-07-14,39.577,39.702,39.317,37.950001,204300,36.399223
2015-07-15,39.452,39.765,39.379,38.02,191600,36.46637
2015-07-16,39.744,39.994,39.744,38.330002,271700,36.763699
2015-07-17,39.953,39.953,39.682,38.16,189400,36.600655
2015-07-20,39.796,39.921,39.577,38.240002,153200,36.67738
2015-07-21,39.848,40.078,39.744,38.139999,154300,36.581463
2015-07-22,39.765,40.046,39.765,38.279999,154400,36.715748
2015-07-23,39.921,39.921,39.191,37.830002,204200,36.284138
2015-07-24,39.442,39.775,39.39,38.009998,191300,36.456776
2015-07-27,39.598,39.963,39.588,38.09,146400,36.533504
2015-07-28,39.786,39.88,39.619,38.150002,471600,36.591061
2015-07-29,39.744,40.046,39.556,38.360001,212000,36.792477
