"Date","IEMG.Open","IEMG.High","IEMG.Low","IEMG.Close","IEMG.Volume","IEMG.Adjusted"
2013-10-29,55.895,55.928,55.797,51.299999,302400,47.100891
2013-10-30,56.059,56.08,55.383,51.080002,1064300,46.898914
2013-10-31,55.808,55.841,55.144,50.639999,756300,46.494919
2013-11-01,55.242,55.405,54.839,50.59,569300,46.449013
2013-11-04,55.264,55.405,55.187,50.869999,256600,46.706089
2013-11-05,54.763,54.763,54.37,49.959999,501200,45.870579
2013-11-06,54.621,54.795,54.523,50.139999,277100,46.035843
2013-11-07,54.599,54.599,53.532,49.209999,732100,45.181973
2013-11-08,53.292,53.532,52.976,49.150002,598700,45.126881
2013-11-11,53.423,53.466,53.107,48.830002,379800,44.833076
2013-11-12,53.074,53.216,52.562,48.5,568500,44.530087
2013-11-13,52.432,53.053,52.377,48.669998,430200,44.686169
2013-11-14,53.074,53.739,52.922,49.34,754400,45.301327
2013-11-15,54.207,54.926,54.207,50.23,798600,46.118481
2013-11-18,55.078,55.677,55.078,50.650002,938200,46.504101
2013-11-19,55.362,55.362,54.828,50.389999,471300,46.265385
2013-11-20,54.468,55.013,54.12,49.779999,497000,45.705315
2013-11-21,54.142,54.251,53.924,49.77,465400,45.696129
2013-11-22,54.262,54.577,54.12,50.049999,329100,45.953209
2013-11-25,54.458,54.577,53.837,49.52,1155400,45.466595
2013-11-26,54.098,54.207,53.717,49.650002,641800,45.585957
2013-11-27,54.185,54.49,54.098,49.98,360400,45.888943
2013-11-29,54.229,54.991,54.229,50.349998,243000,46.228657
2013-12-02,54.73,54.773,53.793,49.41,1248300,45.365601
2013-12-03,53.761,54.044,53.358,49.290001,862600,45.255424
2013-12-04,53.477,53.826,53.194,49.330002,546400,45.292145
2013-12-05,53.488,53.848,53.401,49.040001,1533600,45.025887
2013-12-06,54.131,54.686,54.109,50.009998,777900,45.916485
2013-12-09,54.665,54.806,54.534,50.119999,906100,46.017483
2013-12-10,54.425,54.621,54.36,50.130001,4645600,46.026665
2013-12-11,54.153,54.229,53.401,49.09,2054000,45.071793
2013-12-12,53.325,53.39,52.965,48.889999,7797600,44.888165
2013-12-13,53.39,53.412,53.107,48.98,731400,44.970798
2013-12-16,53.608,53.924,53.543,49.189999,1139200,45.163605
2013-12-17,53.575,53.575,53.14,48.790001,1123800,44.796349
2013-12-18,52.476,53.501,51.677,49.240002,1580100,45.640762
2013-12-19,52.174,52.357,51.818,48.400002,1325500,44.862164
2013-12-20,52.325,52.465,52.098,48.380001,3230900,44.84362
2013-12-23,52.465,52.67,52.422,48.73,2855600,45.168037
2013-12-24,52.713,52.832,52.692,48.939999,476900,45.362686
2013-12-26,52.638,52.638,52.357,48.560001,688800,45.010468
2013-12-27,52.886,53.166,52.832,49.279999,343600,45.677834
2013-12-30,53.155,53.382,53.134,49.400002,4358300,45.789063
2013-12-31,53.458,53.76,53.35,49.810001,837300,46.169094
2014-01-02,52.799,52.799,51.807,48.07,1047200,44.556282
2014-01-03,52.174,52.174,51.613,48.029999,946600,44.519199
2014-01-06,51.807,51.807,51.332,47.580002,1066600,44.102104
2014-01-07,51.699,51.785,51.483,47.84,790800,44.34309
2014-01-08,51.688,51.742,51.343,47.709999,762000,44.222591
2014-01-09,51.44,51.451,50.868,47.509998,1549900,44.037212
2014-01-10,51.602,52.174,51.494,48.220001,979700,44.695313
2014-01-13,52.184,52.184,51.365,47.75,915500,44.25967
2014-01-14,51.785,52.109,51.57,48.23,1182500,44.704586
2014-01-15,52.033,52.098,51.882,48.220001,835400,44.695313
2014-01-16,51.947,52.055,51.645,48,509200,44.491398
2014-01-17,51.731,51.742,51.451,47.790001,620300,44.296749
2014-01-21,51.818,51.818,51.224,47.709999,687400,44.222591
2014-01-22,51.796,52.077,51.656,48.259998,1588900,44.732388
2014-01-23,51.613,51.613,50.577,47.139999,2232500,43.69426
2014-01-24,50.372,50.372,49.477,45.880001,1977200,42.526363
2014-01-27,49.509,49.682,48.894,45.599998,3140000,42.266823
2014-01-28,49.703,49.822,49.498,46.049999,1060100,42.683933
2014-01-29,49.11,49.487,48.786,45.389999,1656800,42.072178
2014-01-30,49.682,49.725,49.272,45.799999,777900,42.452206
2014-01-31,48.916,49.584,48.732,45.830002,849900,42.480019
2014-02-03,49.045,49.088,48.117,44.66,1645200,41.395542
2014-02-04,48.764,49.369,48.764,45.470001,1845800,42.146328
2014-02-05,48.98,49.218,48.635,45.389999,1129300,42.072178
2014-02-06,49.347,49.973,49.347,46.290001,1744800,42.906387
2014-02-07,50.21,50.34,49.908,46.450001,837500,43.054695
2014-02-10,50.091,50.091,49.487,46.080002,641400,42.711739
2014-02-11,50.048,50.804,49.94,47,1675600,43.564495
2014-02-12,51.019,51.192,50.577,46.939999,1418000,43.508877
2014-02-13,50.145,50.825,50.091,47.110001,933300,43.666454
2014-02-14,50.976,51.57,50.976,47.57,474400,44.092827
2014-02-18,51.343,51.354,50.911,47.220001,680100,43.76841
2014-02-19,50.782,51.106,50.501,46.900002,1179900,43.471802
2014-02-20,50.652,50.911,50.318,47.09,1570100,43.647911
2014-02-21,50.955,51.278,50.89,47.389999,990400,43.925983
2014-02-24,51.095,51.505,50.998,47.400002,756100,43.935261
2014-02-25,51.106,51.106,50.415,46.900002,479000,43.471802
2014-02-26,50.847,50.879,50.426,46.849998,593800,43.425453
2014-02-27,51.073,51.559,50.933,47.689999,1321700,44.20406
2014-02-28,51.537,51.613,50.847,47.380001,1476000,43.916718
2014-03-03,50.383,50.512,49.994,46.709999,525900,43.295692
2014-03-04,51.257,51.343,50.998,47.419998,501500,43.953789
2014-03-05,51.149,51.321,50.976,47.549999,593200,44.074287
2014-03-06,51.699,52.152,51.699,48.169998,794200,44.648968
2014-03-07,51.775,51.775,51.019,47.610001,737200,44.129902
2014-03-10,51.116,51.116,50.631,47.259998,706000,43.805485
