"Date","SCHA.Open","SCHA.High","SCHA.Low","SCHA.Close","SCHA.Volume","SCHA.Adjusted"
2011-11-09,35.76,36.043,35.16,32.32,212100,29.663067
2011-11-10,35.738,35.738,35.062,32.490002,96400,29.819096
2011-11-11,35.847,36.424,35.847,33.290001,845100,30.553331
2011-11-14,36.228,36.304,35.662,32.919998,74900,30.213743
2011-11-15,35.662,36.392,35.433,33.259998,156500,30.525795
2011-11-16,35.792,36.446,35.64,32.720001,87300,30.030191
2011-11-17,35.683,35.781,34.888,32.189999,197100,29.543756
2011-11-18,35.237,35.237,34.812,32.150002,82500,29.507046
2011-11-21,34.311,34.409,33.875,31.41,159900,28.827881
2011-11-22,34.169,34.354,33.722,31.120001,361300,28.56172
2011-11-23,33.57,33.581,32.851,30.190001,158500,27.70817
2011-11-25,32.774,33.145,32.567,29.889999,85400,27.432835
2011-11-28,33.875,34.082,33.635,31.18,241100,28.616785
2011-11-29,34.027,34.191,33.755,31.139999,143300,28.580069
2011-11-30,35.4,35.814,35.15,32.869999,229600,30.167862
2011-12-01,35.727,36.043,35.531,32.669998,203900,29.984303
2011-12-02,36.076,36.283,35.683,32.77,125700,30.07608
2011-12-05,36.403,36.631,36.043,33.32,197500,30.580864
2011-12-06,36.272,36.457,35.956,33.299999,67500,30.562511
2011-12-07,35.999,36.381,35.509,33.220001,201000,30.48908
2011-12-08,35.847,35.956,35.062,32.240002,131200,29.589647
2011-12-09,35.215,36.261,35.16,33.119999,114200,30.397314
2011-12-12,35.553,35.705,35.171,32.639999,155000,29.956762
2011-12-13,35.923,36.043,34.681,31.98,101400,29.351021
2011-12-14,34.55,34.725,34.191,31.51,139700,28.919661
2011-12-15,34.823,34.855,34.365,31.77,66400,29.158285
2011-12-16,34.975,35.357,34.692,32.07,80800,29.433624
2011-12-19,35.097,35.097,34.043,31.379999,73200,28.879595
2011-12-20,34.803,35.444,34.803,32.57,145800,29.974771
2011-12-21,35.303,35.618,34.912,32.700001,119200,30.09441
2011-12-22,35.683,35.988,35.672,32.98,132800,30.352098
2011-12-23,35.977,36.031,35.77,33.110001,95700,30.471741
2011-12-27,35.911,36.281,35.759,33.23,169800,30.582178
2011-12-28,36.183,36.183,35.433,32.66,145600,30.057606
2011-12-29,35.575,35.944,35.564,33.040001,81000,30.407322
2011-12-30,35.857,36.02,35.683,32.84,167800,30.223257
2012-01-03,36.683,36.694,36.085,33.299999,343500,30.646599
2012-01-04,36.031,36.151,35.781,33.169998,215200,30.52696
2012-01-05,35.814,36.411,35.499,33.400002,141900,30.738636
2012-01-06,36.335,36.487,35.966,33.380001,163400,30.720228
2012-01-09,36.422,36.487,36.107,33.490002,199300,30.821463
2012-01-10,36.879,36.965,36.759,33.950001,134000,31.24481
2012-01-11,36.77,37.107,36.759,34.110001,319800,31.392063
2012-01-12,37.183,37.183,36.726,34.200001,130700,31.474895
2012-01-13,36.879,36.998,36.607,33.950001,133500,31.24481
2012-01-17,37.313,37.378,36.857,33.990002,145500,31.281624
2012-01-18,36.944,37.596,36.846,34.59,307200,31.833803
2012-01-19,37.759,37.954,37.617,34.860001,266100,32.082302
2012-01-20,37.878,37.933,37.737,34.84,178200,32.063892
2012-01-23,37.9,38.15,37.563,34.810001,104900,32.036289
2012-01-24,37.639,38.096,37.422,35.009998,86200,32.220341
2012-01-25,38.052,38.487,37.867,35.369999,102700,32.551666
2012-01-26,38.704,38.704,38.063,35.189999,146000,32.386005
2012-01-27,38.117,38.552,38.117,35.439999,93500,32.616085
2012-01-30,38.291,38.411,37.933,35.240002,178500,32.432018
2012-01-31,38.584,38.595,38.019,35.16,176200,32.358395
2012-02-01,38.595,39.084,38.476,35.889999,184200,33.030216
2012-02-02,39.095,39.356,39.019,36.07,108100,33.195892
2012-02-03,39.845,40.106,39.704,36.82,236500,33.886127
2012-02-06,39.834,39.997,39.769,36.73,159400,33.803295
2012-02-07,39.932,40.04,39.649,36.709999,158500,33.784885
2012-02-08,40.019,40.193,39.638,36.799999,220000,33.867714
2012-02-09,40.149,40.149,39.617,36.700001,174100,33.775681
2012-02-10,39.454,39.541,39.258,36.259998,133800,33.370747
2012-02-13,39.856,39.91,39.584,36.68,116800,33.757282
2012-02-14,39.704,39.758,39.475,36.59,236000,33.674442
2012-02-15,39.921,39.964,39.367,36.34,219400,33.444378
2012-02-16,39.519,40.225,39.497,37,191200,34.051777
