"Date","MBG.Open","MBG.High","MBG.Low","MBG.Close","MBG.Volume","MBG.Adjusted"
2011-11-10,32.728,32.728,32.657,27.709999,1200,23.512299
2011-11-11,32.61,32.669,32.551,27.719999,800,23.520782
2011-11-14,32.622,32.716,32.622,27.709999,2800,23.512299
2011-11-15,32.598,32.704,32.598,27.68,1600,23.486841
2011-11-16,32.669,32.74,32.669,27.76,700,23.554724
2011-11-17,32.657,32.74,32.61,27.780001,1900,23.571682
2011-11-18,32.634,32.74,32.598,27.780001,5300,23.571682
2011-11-21,32.704,32.704,32.657,27.709999,9100,23.512299
2011-11-22,32.657,32.716,32.598,27.67,3600,23.478357
2011-11-23,32.622,32.74,32.622,27.76,14400,23.554724
2011-11-25,32.598,32.716,32.586,27.75,28400,23.546223
2011-11-28,32.716,32.763,32.61,27.780001,10900,23.571682
2011-11-29,32.775,32.775,32.751,27.809999,7700,23.597141
2011-11-30,32.834,32.834,32.751,27.790001,1300,23.580172
2011-12-01,32.565,32.954,32.565,27.77,106200,23.595467
2011-12-02,32.554,32.683,32.554,27.690001,3300,23.527494
2011-12-05,32.695,32.742,32.636,27.82,1800,23.637957
2011-12-06,32.671,32.742,32.671,27.809999,7500,23.629457
2011-12-07,32.718,32.848,32.718,27.91,1200,23.71442
2011-12-08,32.777,32.801,32.777,27.870001,600,23.680439
2011-12-09,32.801,32.801,32.801,27.870001,0,23.680439
2011-12-12,32.754,32.871,32.754,27.93,22400,23.731415
2011-12-13,32.871,32.871,32.836,27.9,2600,23.705921
2011-12-14,32.836,32.907,32.813,27.9,3900,23.705921
2011-12-15,32.907,32.907,32.824,27.91,2000,23.71442
2011-12-16,32.918,32.918,32.836,27.9,7800,23.705921
2011-12-19,32.883,32.93,32.789,27.98,71600,23.773905
2011-12-20,32.813,32.848,32.813,27.91,700,23.71442
2011-12-21,32.86,32.871,32.742,27.91,6100,23.71442
2011-12-22,32.836,32.871,32.824,27.889999,700,23.697437
2011-12-23,32.836,32.836,32.801,27.870001,3100,23.680439
2011-12-27,32.848,32.848,32.801,27.870001,1700,23.680439
2011-12-28,31.545,31.557,31.453,27.34,52400,23.695173
2011-12-29,31.453,31.638,31.453,27.4,7500,23.747177
2011-12-30,31.649,31.661,31.592,27.379999,5600,23.729837
2012-01-03,31.569,31.649,31.557,27.4,169700,23.747177
2012-01-04,31.672,31.672,31.592,27.4,3600,23.747177
2012-01-05,31.661,31.672,31.545,27.35,31800,23.703838
2012-01-06,31.592,31.661,31.569,27.440001,3000,23.781836
2012-01-09,31.672,31.672,31.592,27.4,22700,23.747177
2012-01-10,31.672,31.672,31.557,27.440001,7300,23.781836
2012-01-11,31.58,31.592,31.569,27.370001,1100,23.721172
2012-01-12,31.638,31.638,31.638,27.42,200,23.764505
2012-01-13,31.626,31.707,31.569,27.48,24300,23.8165
