"Date","VGIT.Open","VGIT.High","VGIT.Low","VGIT.Close","VGIT.Volume","VGIT.Adjusted"
2015-08-06,66.576,66.679,66.524,64.660004,34700,62.721695
2015-08-07,66.658,66.803,66.576,64.739998,15000,62.799278
2015-08-10,66.648,66.699,66.576,64.639999,28500,62.702278
2015-08-11,66.854,67.009,66.854,64.889999,24100,62.94479
2015-08-12,67.04,67.163,66.937,64.93,27300,62.983601
2015-08-13,66.813,66.864,66.772,64.779999,13400,62.838093
2015-08-14,66.71,66.803,66.689,64.720001,27500,62.779892
2015-08-17,66.885,66.885,66.782,64.82,17700,62.8769
2015-08-18,66.751,66.844,66.741,64.779999,16200,62.838093
2015-08-19,66.699,67.101,66.607,65.050003,25700,63.100006
2015-08-20,67.101,67.163,67.05,65.099998,43400,63.148506
2015-08-21,67.163,67.339,67.122,65.269997,48900,63.3134
2015-08-24,67.73,67.782,67.318,65.459999,189200,63.497704
2015-08-25,67.266,67.339,67.04,65.18,92400,63.226105
2015-08-26,67.05,67.287,66.937,65,71500,63.051498
2015-08-27,66.844,67.06,66.803,64.970001,77900,63.022388
2015-08-28,67.132,67.132,66.885,64.949997,40300,63.002991
2015-08-31,67.06,67.081,66.813,64.82,177100,62.8769
2015-09-01,66.818,66.9,66.746,64.959999,204500,63.095428
2015-09-02,66.797,66.921,66.746,64.830002,193400,62.969173
2015-09-03,66.921,66.993,66.797,65.07,132600,63.202278
2015-09-04,66.962,67.075,66.89,65.110001,56200,63.241119
2015-09-08,66.849,66.931,66.766,64.849998,65500,62.98859
2015-09-09,66.663,66.859,66.612,64.919998,65900,63.056576
2015-09-10,66.797,66.797,66.684,64.839996,42900,62.978874
2015-09-11,66.787,66.921,66.787,64.93,77900,63.066296
2015-09-14,66.952,66.972,66.88,65.010002,32900,63.143997
2015-09-15,66.849,66.849,66.519,64.610001,63200,62.755474
2015-09-16,66.602,66.674,66.53,64.650002,43700,62.794331
2015-09-17,66.561,66.952,66.53,65.029999,63500,63.163425
2015-09-18,67.044,67.158,67.003,65.209999,22900,63.338264
2015-09-21,67.034,67.034,66.859,64.970001,40900,63.105141
2015-09-22,67.096,67.189,67.055,65.199997,133600,63.328533
2015-09-23,67.055,67.127,67.014,65.190002,27500,63.318832
2015-09-24,67.281,67.281,67.127,65.199997,34500,63.328533
2015-09-25,67.013,67.106,66.962,65.160004,49100,63.289703
2015-09-28,67.106,67.302,67.106,65.300003,40400,63.425674
2015-09-29,67.353,67.467,67.291,65.480003,95100,63.600502
2015-09-30,67.343,67.467,67.343,65.519997,133400,63.639359
2015-10-01,67.31,67.351,67.238,65.440002,65000,63.651039
2015-10-02,67.66,67.762,67.444,65.68,47700,63.884468
2015-10-05,67.464,67.464,67.259,65.449997,216000,63.660732
2015-10-06,67.32,67.413,67.29,65.559998,40200,63.767735
2015-10-07,67.29,67.32,67.218,65.480003,48800,63.689934
2015-10-08,67.279,67.31,67.135,65.360001,54600,63.573208
2015-10-09,67.135,67.187,67.074,65.309998,28200,63.524574
2015-10-12,67.238,67.32,67.218,65.459999,17100,63.67049
2015-10-13,67.32,67.361,67.218,65.489998,206100,63.699669
2015-10-14,67.485,67.69,67.444,65.839996,22700,64.040085
2015-10-15,67.516,67.536,67.413,65.57,36100,63.777496
2015-10-16,67.454,67.464,67.372,65.559998,47100,63.767735
2015-10-19,67.403,67.423,67.3,65.57,44900,63.777496
2015-10-20,67.269,67.3,67.228,65.419998,35100,63.631577
2015-10-21,67.331,67.403,67.3,65.529999,32100,63.738571
2015-10-22,67.362,67.444,67.341,65.559998,25300,63.767735
2015-10-23,67.248,67.248,67.156,65.349998,64000,63.563496
2015-10-26,67.166,67.269,67.166,65.419998,103000,63.631577
2015-10-27,67.32,67.413,67.32,65.5,85900,63.709396
2015-10-28,67.3,67.351,67.002,65.260002,63300,63.475952
2015-10-29,66.981,66.981,66.817,65.050003,63900,63.271694
2015-10-30,66.837,66.899,66.765,65.019997,132300,63.242519
2015-11-02,66.662,66.724,66.621,64.800003,289700,63.028519
2015-11-03,66.59,66.611,66.508,64.720001,48400,62.95071
2015-11-04,66.518,66.56,66.375,64.629997,38000,62.863178
2015-11-05,66.426,66.446,66.354,64.599998,33400,62.833988
2015-11-06,66.107,66.159,66.035,64.300003,33800,62.542198
2015-11-09,65.974,66.128,65.974,64.279999,59700,62.522736
2015-11-10,66.076,66.241,66.076,64.349998,26100,62.590832
2015-11-11,66.313,66.313,66.087,64.32,28800,62.561653
2015-11-12,66.148,66.364,66.148,64.410004,18500,62.6492
2015-11-13,66.313,66.405,66.272,64.589996,16200,62.824268
