"Date","SCHR.Open","SCHR.High","SCHR.Low","SCHR.Close","SCHR.Volume","SCHR.Adjusted"
2012-10-05,57.545,57.556,57.492,54.139999,13800,50.98354
2012-10-08,57.513,57.63,57.513,54.23,12600,51.06831
2012-10-09,57.556,57.577,57.524,54.189999,705500,51.030636
2012-10-10,57.524,57.609,57.471,54.25,7200,51.087132
2012-10-11,57.513,57.609,57.502,54.25,4400,51.087132
2012-10-12,57.63,57.672,57.598,54.259998,25700,51.096558
2012-10-15,57.598,57.651,57.598,54.240002,36300,51.077732
2012-10-16,57.566,57.566,57.492,54.139999,19000,50.98354
2012-10-17,57.407,57.407,57.248,53.93,9100,50.785782
2012-10-18,57.301,57.322,57.205,53.869999,7200,50.72929
2012-10-19,57.248,57.343,57.248,53.970001,42700,50.823471
2012-10-22,57.269,57.269,57.216,53.880001,6300,50.738712
2012-10-23,57.311,57.354,57.311,54.009998,5500,50.861126
2012-10-24,57.301,57.354,57.29,53.990002,23000,50.842297
2012-10-25,57.163,57.205,57.12,53.84,48700,50.701031
2012-10-26,57.269,57.364,57.269,54,19200,50.851715
2012-10-31,57.418,57.524,57.418,54.139999,15000,50.98354
2012-11-01,57.471,57.471,57.396,54.080002,56900,50.927055
2012-11-02,57.343,57.439,57.343,54.09,9300,50.936466
2012-11-05,57.534,57.556,57.513,54.169998,15400,51.011803
2012-11-06,57.502,57.524,57.354,54.009998,6300,50.861126
2012-11-07,57.662,57.672,57.619,54.259998,12300,51.096558
2012-11-08,57.619,57.757,57.619,54.389999,17400,51.218983
2012-11-09,57.747,57.747,57.694,54.369999,19500,51.200146
2012-11-12,57.779,57.789,57.747,54.419998,20500,51.247234
2012-11-13,57.81,57.832,57.779,54.459999,6900,51.284912
2012-11-14,57.725,57.842,57.725,54.470001,41400,51.294304
2012-11-15,57.768,57.842,57.768,54.450001,37100,51.275486
2012-11-16,57.821,57.895,57.81,54.470001,24600,51.294304
2012-11-19,57.779,57.8,57.757,54.43,91600,51.256653
2012-11-20,57.757,57.757,57.683,54.330002,65000,51.162479
2012-11-21,57.63,57.641,57.619,54.27,10500,51.105965
2012-11-23,57.63,57.63,57.598,54.25,18900,51.087132
2012-11-26,57.672,57.725,57.651,54.299999,11400,51.134232
2012-11-27,57.683,57.747,57.683,54.380001,77100,51.209557
2012-11-28,57.789,57.81,57.779,54.419998,40100,51.247234
2012-11-29,57.768,57.81,57.768,54.43,12200,51.256653
2012-11-30,57.842,57.853,57.81,54.450001,18900,51.275486
2012-12-03,57.695,57.748,57.695,54.41,145100,51.274532
2012-12-04,57.78,57.78,57.737,54.419998,9100,51.283958
2012-12-05,57.811,57.854,57.801,54.48,38800,51.340488
2012-12-06,57.865,57.886,57.833,54.52,16700,51.378189
2012-12-07,57.727,57.801,57.727,54.419998,11100,51.283958
2012-12-10,57.79,57.801,57.758,54.459999,8200,51.321651
2012-12-11,57.727,57.737,57.684,54.41,8400,51.274532
2012-12-12,57.705,57.716,57.62,54.299999,40500,51.170872
2012-12-13,57.599,57.599,57.514,54.23,37000,51.104908
2012-12-14,57.567,57.589,57.557,54.27,26500,51.142597
2012-12-17,57.567,57.567,57.429,54.130001,27500,51.010674
2012-12-18,57.387,57.408,57.27,54.009998,38100,50.897579
2012-12-19,57.323,57.408,57.323,54.040001,193200,50.92585
