"Date","ITR.Open","ITR.High","ITR.Low","ITR.Close","ITR.Volume","ITR.Adjusted"
2010-04-27,40.496,40.608,40.383,32.419998,34900,25.970821
2010-04-28,40.508,40.583,40.396,32.470001,25600,26.010878
2010-04-29,40.458,40.521,40.446,32.43,24100,25.978827
2010-04-30,40.546,40.645,40.408,32.540001,32000,26.066952
2010-05-03,40.343,40.343,40.218,32.32,9700,25.972923
2010-05-04,40.305,40.38,40.255,32.450001,27600,26.077394
2010-05-05,40.405,40.567,40.392,32.529999,21600,26.141693
2010-05-06,40.43,40.766,40.255,32.759998,36300,26.326513
2010-05-07,40.293,40.455,39.882,32.18,45500,25.86042
2010-05-10,40.119,40.716,40.119,32.549999,42600,26.157753
2010-05-11,40.255,40.305,40.044,32.240002,85800,25.90864
2010-05-12,40.181,40.318,40.143,32.389999,50800,26.029179
2010-05-13,40.318,40.33,40.206,32.369999,31200,26.013103
2010-05-14,40.33,40.455,40.318,32.450001,16400,26.077394
2010-05-17,40.28,40.467,40.28,32.439999,17400,26.069349
2010-05-18,40.33,40.517,40.33,32.439999,23100,26.069349
2010-05-19,40.268,40.554,40.268,32.52,14100,26.133652
2010-05-20,40.442,40.517,40.38,32.560001,36600,26.165802
2010-05-21,40.591,40.591,40.318,32.48,91500,26.101507
2010-05-24,40.367,40.492,40.318,32.509998,25500,26.125612
2010-05-25,40.343,40.392,40.143,32.43,22400,26.061325
2010-05-26,40.293,40.392,40.206,32.450001,22400,26.077394
2010-05-27,40.218,40.243,40.044,32.27,14800,25.932747
2010-05-28,40.193,40.268,40.094,32.290001,23900,25.948812
2010-06-01,40.056,40.143,39.895,32.25,4800,25.997187
2010-06-02,40.007,40.069,39.808,32.16,23900,25.924641
2010-06-03,39.783,40.069,39.759,32.200001,33600,25.956871
2010-06-04,40.094,40.218,40.094,32.419998,17600,26.134222
2010-06-07,40.131,40.28,40.131,32.470001,15300,26.174532
2010-06-08,40.168,40.242,40.106,32.400002,20500,26.118093
2010-06-09,40.106,40.193,40.056,32.389999,24700,26.110041
2010-06-10,40.007,40.106,39.982,32.240002,10300,25.989117
2010-06-11,40.094,40.094,40.007,32.299999,7200,26.037487
2010-06-14,40.007,40.044,39.92,32.240002,21600,25.989117
2010-06-15,40.069,40.069,39.858,32.169998,21200,25.932699
2010-06-16,40.069,40.094,39.92,32.299999,31200,26.037487
2010-06-17,40.193,40.193,40.106,32.360001,10500,26.085867
2010-06-18,39.982,40.118,39.982,32.32,19200,26.053612
2010-06-21,40.106,40.193,40.106,32.34,11100,26.06974
2010-06-22,40.218,40.255,40.118,32.450001,18300,26.158407
2010-06-23,40.255,40.366,40.069,32.459999,71800,26.166471
2010-06-24,40.218,40.329,40.218,32.509998,31000,26.206772
2010-06-25,40.329,40.391,40.292,32.549999,12400,26.239017
2010-06-28,40.466,40.528,40.404,32.599998,60500,26.279325
2010-06-29,40.528,40.565,40.453,32.669998,14100,26.335747
